#
# Options:
#   /data/jwen929/mobile/.venv/lib64/python3.12/site-packages/eiq_nsys/nsys_rel/nsys /data/jwen929/mobile/.venv/lib64/python3.12/site-packages/eiq_neutron_sdk/target/imxrt700/cmodel/NeutronFirmware.elf -nc /data/jwen929/mobile/pytorch_ref/executorch/examples/nxp/executor_runner/neutron-imxrt700.ini --mem-shared-path ddr_850193_temp -mic=0 -dc -fep -sce --sce 
#

TEST id=0
INIT

CORE n=zenv

RD n=MCAUSE d=0x00000000
RD n=MCOUNTEREN d=0x00000000
RD n=MCOUNTINHIBIT d=0x00000000
RD n=MCYCLE d=0x00000000
RD n=MCYCLEH d=0x00000000
RD n=MEDELEG d=0x00000000
RD n=MEPC d=0x00000000
RD n=MHPMCOUNTER10 d=0x00000000
RD n=MHPMCOUNTER10H d=0x00000000
RD n=MHPMCOUNTER11 d=0x00000000
RD n=MHPMCOUNTER11H d=0x00000000
RD n=MHPMCOUNTER12 d=0x00000000
RD n=MHPMCOUNTER12H d=0x00000000
RD n=MHPMCOUNTER13 d=0x00000000
RD n=MHPMCOUNTER13H d=0x00000000
RD n=MHPMCOUNTER14 d=0x00000000
RD n=MHPMCOUNTER14H d=0x00000000
RD n=MHPMCOUNTER15 d=0x00000000
RD n=MHPMCOUNTER15H d=0x00000000
RD n=MHPMCOUNTER16 d=0x00000000
RD n=MHPMCOUNTER16H d=0x00000000
RD n=MHPMCOUNTER17 d=0x00000000
RD n=MHPMCOUNTER17H d=0x00000000
RD n=MHPMCOUNTER18 d=0x00000000
RD n=MHPMCOUNTER18H d=0x00000000
RD n=MHPMCOUNTER19 d=0x00000000
RD n=MHPMCOUNTER19H d=0x00000000
RD n=MHPMCOUNTER20 d=0x00000000
RD n=MHPMCOUNTER20H d=0x00000000
RD n=MHPMCOUNTER21 d=0x00000000
RD n=MHPMCOUNTER21H d=0x00000000
RD n=MHPMCOUNTER22 d=0x00000000
RD n=MHPMCOUNTER22H d=0x00000000
RD n=MHPMCOUNTER23 d=0x00000000
RD n=MHPMCOUNTER23H d=0x00000000
RD n=MHPMCOUNTER24 d=0x00000000
RD n=MHPMCOUNTER24H d=0x00000000
RD n=MHPMCOUNTER25 d=0x00000000
RD n=MHPMCOUNTER25H d=0x00000000
RD n=MHPMCOUNTER26 d=0x00000000
RD n=MHPMCOUNTER26H d=0x00000000
RD n=MHPMCOUNTER27 d=0x00000000
RD n=MHPMCOUNTER27H d=0x00000000
RD n=MHPMCOUNTER28 d=0x00000000
RD n=MHPMCOUNTER28H d=0x00000000
RD n=MHPMCOUNTER29 d=0x00000000
RD n=MHPMCOUNTER29H d=0x00000000
RD n=MHPMCOUNTER3 d=0x00000000
RD n=MHPMCOUNTER30 d=0x00000000
RD n=MHPMCOUNTER30H d=0x00000000
RD n=MHPMCOUNTER31 d=0x00000000
RD n=MHPMCOUNTER31H d=0x00000000
RD n=MHPMCOUNTER3H d=0x00000000
RD n=MHPMCOUNTER4 d=0x00000000
RD n=MHPMCOUNTER4H d=0x00000000
RD n=MHPMCOUNTER5 d=0x00000000
RD n=MHPMCOUNTER5H d=0x00000000
RD n=MHPMCOUNTER6 d=0x00000000
RD n=MHPMCOUNTER6H d=0x00000000
RD n=MHPMCOUNTER7 d=0x00000000
RD n=MHPMCOUNTER7H d=0x00000000
RD n=MHPMCOUNTER8 d=0x00000000
RD n=MHPMCOUNTER8H d=0x00000000
RD n=MHPMCOUNTER9 d=0x00000000
RD n=MHPMCOUNTER9H d=0x00000000
RD n=MHPMEVENT10 d=0x00000000
RD n=MHPMEVENT11 d=0x00000000
