status	job	detail
OK	w111:288	
OK	w111:175	
OK	w109:287	
OK	w111:319	
OK	w111:290	
OK	w111:352	
OK	w111:392	
OK	w111:364	
OK	w111:419	
OK	w111:480	
OK	w111:546	
OK	w111:558	
OK	w111:646	
OK	w111:687	
MISMATCH	w112:115	out[0] shape (1, 1, 1) vs (0, 0, 0, 0)
OK	w112:179	
MISMATCH	w111:93	out[0] non-finite mismatch (nan/inf positions differ)
OK	w112:2	
OK	w112:19	
SKIP	w112:218	executor ExecutorchInvalidArgumentException: [ExecuTorch Error 0x12] Invalid argument: Execution failed for method: forward
OK	w112:239	
OK	w112:422	
OK	w112:425	
SKIP	w112:350	executor ExecutorchInvalidArgumentException: [ExecuTorch Error 0x12] Invalid argument: Execution failed for method: forward
OK	w112:493	
OK	w112:499	
OK	w112:530	
OK	w112:534	
OK	w112:628	
CRASH	w111:367	executor process died (native abort)
OK	w112:670	
OK	w112:701	
OK	w112:97	
OK	w112:714	
OK	w112:98	
OK	w113:172	
OK	w113:155	
OK	w113:203	
OK	w113:282	
OK	w113:269	
OK	w113:341	
OK	w113:37	
OK	w113:385	
OK	w113:405	
OK	w113:534	
OK	w113:506	
OK	w113:594	
OK	w113:599	
OK	w113:699	
OK	w113:66	
OK	w113:711	
OK	w113:707	
OK	w113:83	
OK	w114:194	
OK	w112:616	
OK	w114:315	
OK	w114:319	
SKIP	w114:381	executor ExecutorchInvalidArgumentException: [ExecuTorch Error 0x12] Invalid argument: Execution failed for method: forward
OK	w114:449	
OK	w114:451	
OK	w114:518	
OK	w114:523	
OK	w114:534	
OK	w114:552	
OK	w114:576	
MISMATCH	w114:623	out[0] non-finite mismatch (nan/inf positions differ)
OK	w114:627	
OK	w11:96	
OK	w114:683	
OK	w114:71	
OK	w114:773	
OK	w115:116	
OK	w115:134	
OK	w115:152	
OK	w115:189	
OK	w114:152	
OK	w115:235	
OK	w115:245	
OK	w115:298	
OK	w115:338	
OK	w115:42	
OK	w115:363	
OK	w115:462	
OK	w115:538	
OK	w111:219	
OK	w115:566	
OK	w115:627	
OK	w115:68	
OK	w115:679	
OK	w115:705	
CRASH	w115:286	executor process died (native abort)
OK	w115:762	
OK	w114:20	
OK	w115:79	
MISMATCH	w116:14	out[0] non-finite mismatch (nan/inf positions differ)
OK	w116:215	
OK	w116:243	
OK	w116:343	
OK	w116:356	
OK	w116:427	
OK	w116:472	
OK	w116:440	
OK	w116:589	
OK	w116:479	
OK	w116:631	
OK	w116:708	
OK	w116:774	
OK	w116:772	
OK	w117:186	
OK	w117:127	
OK	w117:199	
OK	w117:223	
OK	w117:272	
OK	w117:271	
OK	w117:303	
OK	w117:278	
OK	w117:45	
OK	w117:359	
OK	w117:597	
SKIP	w117:514	executor ExecutorchInvalidArgumentException: [ExecuTorch Error 0x12] Invalid argument: Execution failed for method: forward
OK	w117:663	
OK	w117:683	
OK	w113:204	
OK	w115:615	
MISMATCH	w115:681	out[0] shape (1, 1, 1, 1, 1) vs (0, 0, 0, 0, 0)
CRASH	w118:119	executor process died (native abort)
OK	w116:40	
OK	w117:752	
OK	w117:709	
OK	w117:708	
OK	w117:746	
MISMATCH	w117:701	out[0] shape (1,) vs (0, 0, 0, 0, 0)
OK	w118:10	
OK	w118:319	
OK	w118:191	
SKIP	w117:780	executor ExecutorchRuntimeException: [ExecuTorch Error 0x1] Internal error: Execution failed for method: forward
OK	w118:33	
SKIP	w118:445	executor ExecutorchInvalidArgumentException: [ExecuTorch Error 0x12] Invalid argument: Execution failed for method: forward
OK	w118:430	
OK	w118:539	
OK	w118:549	
OK	w118:550	
OK	w118:594	
OK	w118:370	
OK	w118:577	
OK	w119:210	
OK	w118:622	
OK	w119:139	
OK	w119:30	
OK	w119:217	
OK	w119:238	
OK	w119:335	
OK	w119:325	
OK	w119:416	
OK	w119:356	
OK	w119:374	
OK	w119:42	
OK	w119:446	
OK	w119:664	
OK	w12:231	
OK	w119:82	
OK	w12:241	
OK	w12:46	
OK	w12:311	
MISMATCH	w12:372	out[0] max|delta|=3.000e+00 (rtol=0.0 atol=0.0)
OK	w12:299	
OK	w12:489	
SKIP	w12:285	executor ExecutorchInvalidArgumentException: [ExecuTorch Error 0x12] Invalid argument: Execution failed for method: forward
OK	w12:510	
OK	w12:543	
OK	w12:657	
OK	w12:778	
OK	w12:742	
OK	w12:725	
OK	w12:779	
OK	w120:100	
OK	w120:146	
OK	w120:210	
OK	w120:177	
OK	w120:197	
OK	w120:232	
OK	w120:259	
OK	w120:346	
OK	w120:527	
OK	w120:543	
OK	w120:83	
OK	w120:766	
OK	w120:656	
OK	w120:702	
OK	w121:139	
OK	w121:156	
OK	w121:177	
OK	w121:197	
OK	w121:204	
OK	w121:303	
OK	w121:381	
OK	w121:308	
OK	w121:404	
MISMATCH	w121:455	out[0] shape (0, 0, 0, 0) vs (0, 0, 0, 0, 0)
OK	w121:466	
OK	w121:56	
OK	w121:654	
OK	w121:572	
OK	w121:640	
SKIP	w121:639	executor ExecutorchInvalidArgumentException: [ExecuTorch Error 0x12] Invalid argument: Execution failed for method: forward
OK	w121:79	
OK	w121:681	
OK	w121:96	
OK	w122:114	
OK	w122:161	
OK	w122:173	
OK	w122:191	
OK	w122:240	
OK	w122:297	
OK	w122:311	
OK	w122:366	
MISMATCH	w122:363	out[0] max|delta|=6.000e+00 (rtol=0.0 atol=0.0)
OK	w122:472	
OK	w122:493	
OK	w122:652	
CRASH	w12:308	executor process died (native abort)
OK	w122:585	
OK	w123:129	
OK	w122:758	
OK	w122:9	
OK	w122:97	
OK	w123:203	
OK	w123:235	
OK	w123:208	
OK	w123:374	
OK	w123:437	
OK	w123:448	
OK	w123:481	
CRASH	w120:546	executor process died (native abort)
OK	w123:509	
OK	w123:604	
OK	w123:542	
MISMATCH	w123:608	out[0] max|delta|=4.000e+00 (rtol=0.0 atol=0.0)
OK	w123:609	
OK	w123:719	
SKIP	w123:648	executor ExecutorchRuntimeException: [ExecuTorch Error 0x14] Operator missing: Execution failed for method: forward
OK	w123:658	
OK	w124:117	
OK	w123:92	
SKIP	w124:243	executor ExecutorchRuntimeException: [ExecuTorch Error 0x14] Operator missing: Execution failed for method: forward
OK	w124:13	
MISMATCH	w124:349	out[0] max|delta|=1.000e+00 (rtol=0.0 atol=0.0)
OK	w124:320	
MISMATCH	w124:382	out[0] max|delta|=1.153e+18 (rtol=0.01 atol=0.001)
OK	w124:411	
MISMATCH	w124:432	out[0] max|delta|=3.000e+00 (rtol=0.0 atol=0.0)
OK	w124:448	
MISMATCH	w124:61	out[0] non-finite mismatch (nan/inf positions differ)
OK	w122:248	
OK	w124:611	
OK	w124:618	
OK	w124:710	
OK	w124:656	
OK	w125:11	
OK	w125:145	
OK	w125:102	
OK	w125:206	
OK	w125:198	
OK	w125:224	
OK	w125:323	
OK	w125:247	
OK	w125:331	
OK	w125:401	
OK	w125:452	
OK	w123:200	
OK	w125:52	
OK	w125:524	
OK	w125:59	
OK	w125:593	
MISMATCH	w125:652	out[0] max|delta|=1.611e+09 (rtol=0.0 atol=0.0)
OK	w125:617	
OK	w125:650	
OK	w125:714	
OK	w125:75	
OK	w125:663	
OK	w125:779	
OK	w126:136	
OK	w126:221	
OK	w126:234	
OK	w126:268	
OK	w126:315	
OK	w126:337	
OK	w126:518	
OK	w126:353	
OK	w126:354	
OK	w126:528	
OK	w126:763	
OK	w126:712	
OK	w126:9	
OK	w126:92	
OK	w127:0	
OK	w127:142	
OK	w127:170	
OK	w127:19	
OK	w127:212	
OK	w127:30	
OK	w127:246	
OK	w127:348	
OK	w127:366	
OK	w127:503	
OK	w127:549	
OK	w127:627	
OK	w127:565	
OK	w127:64	
OK	w127:740	
OK	w127:636	
OK	w127:753	
SKIP	w127:771	executor ExecutorchInvalidArgumentException: [ExecuTorch Error 0x12] Invalid argument: Execution failed for method: forward
OK	w13:255	
OK	w13:183	
OK	w13:371	
OK	w13:40	
OK	w13:416	
SKIP	w13:410	executor ExecutorchRuntimeException: [ExecuTorch Error 0x14] Operator missing: Execution failed for method: forward
OK	w13:477	
OK	w13:53	
OK	w13:530	
OK	w13:540	
OK	w123:336	
OK	w126:28	
OK	w13:156	
OK	w123:78	
OK	w13:547	
OK	w13:778	
OK	w13:89	
OK	w13:693	
OK	w13:653	
OK	w14:202	
OK	w13:96	
OK	w14:230	
OK	w14:233	
OK	w14:262	
OK	w14:263	
OK	w14:349	
OK	w14:380	
OK	w14:293	
OK	w14:479	
OK	w14:530	
OK	w14:48	
OK	w14:480	
OK	w14:613	
OK	w14:652	
OK	w14:552	
OK	w14:608	
OK	w15:126	
OK	w14:662	
OK	w14:72	
OK	w15:116	
OK	w15:153	
OK	w15:138	
OK	w15:146	
OK	w15:205	
OK	w15:260	
OK	w15:218	
OK	w15:254	
OK	w15:301	
OK	w15:440	
OK	w15:311	
OK	w15:492	
OK	w15:467	
MISMATCH	w15:545	out[0] max|delta|=1.611e+09 (rtol=0.0 atol=0.0)
OK	w15:561	
OK	w15:604	
OK	w15:64	
OK	w15:757	
OK	w15:710	
OK	w16:232	
OK	w13:644	
OK	w14:466	
OK	w16:356	
OK	w16:318	
OK	w16:476	
OK	w16:369	
OK	w16:486	
OK	w16:531	
OK	w16:560	
OK	w15:642	
OK	w16:563	
OK	w16:605	
OK	w16:589	
OK	w16:765	
OK	w16:745	
OK	w15:51	
OK	w16:779	
OK	w17:134	
OK	w17:165	
OK	w17:247	
OK	w17:307	
OK	w17:24	
OK	w17:34	
OK	w17:338	
OK	w17:366	
OK	w17:39	
OK	w17:471	
OK	w17:512	
OK	w17:552	
OK	w17:555	
OK	w17:598	
SKIP	w17:606	executor ExecutorchInvalidArgumentException: [ExecuTorch Error 0x12] Invalid argument: Execution failed for method: forward
MISMATCH	w17:664	out[0] shape (1, 1, 1) vs (0, 0, 0, 0, 0)
OK	w16:294	
OK	w17:683	
OK	w17:685	
OK	w17:707	
OK	w17:83	
OK	w17:741	
