job	out	verdict	tgt_op	trigger_ops	ab	n_div	n_rep	mechanism
w100:617	1	SIBLING_DEPENDENT	exp	replication_pad3d;glu	A_ALSO_DIVERGES	3	3	SHAPE
w102:563	0	SIBLING_DEPENDENT	ERR		DEV:TIMEOUT	0	3	
w104:674	0	COMPOSITIONAL	ERR		DEV:TIMEOUT	0	3	
w107:260	2	COMPOSITIONAL	_log_softmax	_native_batch_norm_legit;le	AB_OK	3	3	VALUE
w109:701	3	SIBLING_DEPENDENT	index_select	div	AB_OK	3	3	NONFINITE
w111:267	1	SIBLING_DEPENDENT	log10	floor_divide	AB_OK	3	3	NONFINITE
w113:751	1	SIBLING_DEPENDENT	round	min	AB_OK	3	3	ZEROED
w115:79	0	SIBLING_DEPENDENT	remainder	sigmoid;detach_copy	AB_OK	3	3	NONFINITE
w119:352	2	SIBLING_DEPENDENT	erf	detach_copy	AB_OK	3	3	NONFINITE
w120:331	3	SIBLING_DEPENDENT	fmod	transpose_copy	AB_OK	3	3	ZEROED
w122:763	0	COMPOSITIONAL	gelu	erf;bitwise_left_shift;round	AB_OK	3	3	VALUE
w125:56	1	SIBLING_DEPENDENT	cos	log10	AB_OK	3	3	NONFINITE
w127:357	1	SIBLING_DEPENDENT	gt	transpose_copy	AB_OK	3	3	VALUE
w13:423	0	SIBLING_DEPENDENT	div	logical_xor	AB_OK	3	3	ZEROED
w16:27	1	SIBLING_DEPENDENT	mul	roll	AB_OK	3	3	ZEROED
w18:227	1	COMPOSITIONAL	log1p	remainder	AB_OK	3	3	NONFINITE
w19:73	0	COMPOSITIONAL	t_copy	remainder;ge	B_NOREPRO	0	3	?
w20:491	1	SIBLING_DEPENDENT	sum	maximum	AB_OK	3	3	VALUE
w23:9	0	COMPOSITIONAL	hardtanh	remainder	AB_OK	3	3	ALIAS:L0
w26:488	0	COMPOSITIONAL	lift_fresh_copy	logit;fill	AB_OK	3	3	NONFINITE
w27:612	1	COMPOSITIONAL	abs	bitwise_left_shift	AB_OK	3	3	VALUE
w2:177	0	COMPOSITIONAL	log	bitwise_left_shift	AB_OK	3	3	NONFINITE
w30:646	0	COMPOSITIONAL	asin	floor_divide	AB_OK	3	3	VALUE
w34:124	1	COMPOSITIONAL	tril	native_group_norm	AB_OK	3	3	NONFINITE
w36:316	3	SIBLING_DEPENDENT	index	detach_copy;bitwise_or	AB_OK	3	3	ZEROED
w38:438	0	SIBLING_DEPENDENT	narrow_copy	abs	AB_OK	3	3	ZEROED
w3:219	0	COMPOSITIONAL	lift_fresh_copy	bitwise_left_shift	AB_OK	3	3	VALUE
w42:106	1	COMPOSITIONAL	fmod	_to_copy;sum;broadcast_to	AB_OK	3	3	VALUE
w43:401	1	COMPOSITIONAL	acos	_native_batch_norm_legit	AB_OK	3	3	NONFINITE
w45:336	0	COMPOSITIONAL	pixel_shuffle	remainder	AB_OK	3	3	VALUE
w47:758	1	SIBLING_DEPENDENT	abs	squeeze_copy	AB_OK	3	3	ZEROED
w49:702	1	SIBLING_DEPENDENT	narrow_copy	lift_fresh_copy	AB_OK	3	3	ZEROED
w4:705	2	COMPOSITIONAL	repeat	bitwise_left_shift;asinh;sigmoid	AB_OK	3	3	VALUE
w51:538	1	COMPOSITIONAL	div	broadcast_to	B_NOREPRO	0	3	?
w53:529	0	COMPOSITIONAL	asin	ceil;remainder	AB_OK	3	3	NONFINITE
w55:603	0	SIBLING_DEPENDENT	relu	relu	AB_OK	3	3	ZEROED
w57:613	0	COMPOSITIONAL	where	broadcast_to;fill;_to_copy	AB_OK	3	3	ZEROED
w59:83	1	COMPOSITIONAL	cumsum	bitwise_left_shift	AB_OK	3	3	NONFINITE
w60:387	0	SIBLING_DEPENDENT	gelu	unbind_copy	AB_OK	3	3	ZEROED
w61:49	2	SIBLING_DEPENDENT	gelu	view_copy	AB_OK	3	3	ZEROED
w62:771	2	COMPOSITIONAL	slice_copy	var	AB_OK	3	3	NONFINITE
w64:745	0	SIBLING_DEPENDENT	permute_copy	constant_pad_nd	AB_OK	3	3	ZEROED
w66:461	0	COMPOSITIONAL	fmod	remainder;fmod;sigmoid	AB_OK	3	3	VALUE
w68:356	0	COMPOSITIONAL	max	native_group_norm	AB_OK	3	3	VALUE
w6:20	3	SIBLING_DEPENDENT	prod	permute_copy	AB_OK	3	3	ZEROED
w70:461	3	SIBLING_DEPENDENT	sign	log	AB_OK	3	3	VALUE
w71:685	0	SIBLING_DEPENDENT	logical_xor	split_with_sizes_copy	AB_OK	3	3	SCALE:0.000
w74:357	0	COMPOSITIONAL	slice_copy	_to_copy;broadcast_to	AB_OK	3	3	VALUE
w77:21	1	SIBLING_DEPENDENT	atanh	atanh	AB_OK	3	3	ZEROED
w78:662	1	SIBLING_DEPENDENT	topk	floor_divide	AB_OK	3	3	ZEROED
w80:52	1	COMPOSITIONAL	floor	bitwise_left_shift	AB_OK	3	3	VALUE
w82:757	0	SIBLING_DEPENDENT	logical_xor	tan	B_NOREPRO	0	3	?
w84:694	0	SIBLING_DEPENDENT	asinh	sin	AB_OK	3	3	VALUE
w87:153	1	COMPOSITIONAL	mul	bitwise_left_shift;sum	AB_OK	3	3	VALUE
w89:137	1	SIBLING_DEPENDENT	remainder	pow	AB_OK	3	3	ZEROED
w89:779	0	SIBLING_DEPENDENT	clamp	split_copy	AB_OK	3	3	NONFINITE
w92:375	2	COMPOSITIONAL	clamp	bitwise_left_shift;abs	AB_OK	3	3	VALUE
w94:418	0	COMPOSITIONAL	unsqueeze_copy	_to_copy;remainder	AB_OK	3	3	ALIAS:n0
w96:165	1	SIBLING_DEPENDENT	min	fmod	AB_OK	3	3	NONFINITE
w98:569	1	SIBLING_DEPENDENT	lift_fresh_copy	remainder	AB_OK	3	3	NONFINITE
w99:619	0	SIBLING_DEPENDENT	glu	acosh	AB_OK	3	3	ZEROED
