job	out	verdict	tgt_op	trigger_ops	ab	n_div	n_rep	mechanism
w100:540	0	SIBLING_DEPENDENT	ERR		DEV:TIMEOUT	0	3	
w102:35	0	COMPOSITIONAL	min	native_group_norm;gelu	AB_OK	3	3	VALUE
w103:715	3	COMPOSITIONAL	unfold_copy	tanh;sub	AB_OK	1	3	SHAPE
w107:105	2	SIBLING_DEPENDENT	ERR		DEV:TIMEOUT	0	3	
w109:395	0	COMPOSITIONAL	atan2	native_group_norm	AB_OK	3	3	VALUE
w110:633	1	COMPOSITIONAL	abs	fill	AB_OK	3	3	ZEROED
w113:546	0	SIBLING_DEPENDENT	any	logical_or	AB_OK	3	3	ZEROED
w115:594	2	COMPOSITIONAL	remainder	view_copy	B_NOREPRO	0	3	?
w118:120	2	SIBLING_DEPENDENT	max	transpose_copy	AB_OK	3	3	ZEROED
w120:152	0	COMPOSITIONAL	sqrt	fill;roll	AB_OK	3	3	ZEROED
w122:505	1	COMPOSITIONAL	abs	bitwise_left_shift	AB_OK	3	3	VALUE
w124:8	3	COMPOSITIONAL	split_with_sizes_copy	log1p;remainder	AB_OK	3	3	VALUE
w127:226	0	SIBLING_DEPENDENT	repeat	min	A_ALSO_DIVERGES	3	3	ZEROED
w13:22	0	SIBLING_DEPENDENT	prod	fmod	AB_OK	3	3	ZEROED
w15:52	1	COMPOSITIONAL	clamp	_to_copy;log1p	AB_OK	3	3	VALUE
w17:92	0	COMPOSITIONAL	unbind_copy	native_group_norm	AB_OK	3	3	VALUE
w19:680	0	SIBLING_DEPENDENT	sigmoid	sigmoid	AB_OK	3	3	ZEROED
w20:324	1	SIBLING_DEPENDENT	select_scatter	prod	AB_OK	3	3	VALUE
w23:622	1	SIBLING_DEPENDENT	amax	div	AB_OK	3	3	NONFINITE
w25:19	2	COMPOSITIONAL	div	floor_divide;mean	B_NOREPRO	0	3	?
w27:460	0	SIBLING_DEPENDENT	expm1	unsqueeze_copy	AB_OK	3	3	ZEROED
w29:596	2	COMPOSITIONAL	min	bitwise_or;slice_copy;bitwise_left_shift;_to_copy;div;slice_copy;slice_copy	AB_OK	3	3	VALUE
w30:56	2	COMPOSITIONAL	leaky_relu	native_group_norm	AB_OK	3	3	VALUE
w33:509	0	COMPOSITIONAL	bitwise_left_shift	bitwise_left_shift	AB_OK	3	3	VALUE
w35:661	3	SIBLING_DEPENDENT	prod	expand_copy	AB_OK	3	3	ZEROED
w37:71	0	SIBLING_DEPENDENT	transpose_copy	var_mean	AB_OK	3	3	NONFINITE
w39:585	0	SIBLING_DEPENDENT	div	lt	AB_OK	3	3	VALUE
w41:314	0	SIBLING_DEPENDENT	pow	argmax	AB_OK	3	3	NONFINITE
w43:252	3	COMPOSITIONAL	squeeze_copy	floor_divide;exp	AB_OK	3	3	ALIAS:n2
w44:702	1	SIBLING_DEPENDENT	clamp	log10	AB_OK	3	3	VALUE
w47:469	0	SIBLING_DEPENDENT	permute_copy	squeeze_copy	AB_OK	3	3	NONFINITE
w49:485	0	COMPOSITIONAL	transpose_copy	_to_copy	AB_OK	3	3	VALUE
w4:636	2	SIBLING_DEPENDENT	asin	asin	AB_OK	3	3	NONFINITE
w51:43	0	SIBLING_DEPENDENT	eq	le	AB_OK	3	3	ZEROED
w53:300	0	COMPOSITIONAL	mul	bitwise_left_shift;logical_not	AB_OK	3	3	VALUE
w55:372	1	COMPOSITIONAL	div	broadcast_to;_to_copy	AB_OK	3	3	NONFINITE
w57:332	2	SIBLING_DEPENDENT	masked_scatter	alias_copy	AB_OK	3	3	ZEROED
w59:561	1	COMPOSITIONAL	sigmoid	remainder	AB_OK	3	3	VALUE
w60:143	0	COMPOSITIONAL	exp	bitwise_left_shift;var	AB_OK	3	3	NONFINITE
w61:456	3	SIBLING_DEPENDENT	logical_or	squeeze_copy	AB_OK	3	3	VALUE
w62:425	0	COMPOSITIONAL	abs	sum;broadcast_to;remainder;_to_copy	AB_OK	3	3	SCALE:0.500
w64:397	0	SIBLING_DEPENDENT	logical_and	pow	AB_OK	3	3	ZEROED
w66:273	0	SIBLING_DEPENDENT	mul	ceil	AB_OK	3	3	ALIAS:n7
w68:139	1	SIBLING_DEPENDENT	logit	logit	AB_OK	3	3	NONFINITE
