operator	k_samples	deleg	portable	unknown	mism_deleg	mism_port	crash_deleg	crash_port	skip_runtime	skip_feeder	timeout	OK_est
bitwise_or.Scalar	431	0	431	0	0	0	0	0	0	0	0	431
select_scatter	431	431	0	0	0	0	0	0	3	0	0	428
pow.Scalar_out	431	431	0	0	7	0	0	0	4	0	0	420
slice_copy.Tensor	430	207	223	0	0	0	0	0	0	0	0	430
mean.dtype_out	430	430	0	0	0	0	0	0	430	0	0	0
flip	430	430	0	0	0	0	0	0	3	0	0	427
ge.Scalar_out	430	430	0	0	0	0	0	0	2	0	0	428
repeat	430	430	0	0	0	0	0	0	7	0	0	423
reciprocal.out	430	430	0	0	0	0	0	0	2	0	0	428
split_with_sizes_copy	430	430	0	0	0	0	0	0	0	0	0	430
gelu.out	430	430	0	0	0	0	0	0	1	0	0	429
asin.out	430	430	0	0	0	0	0	0	3	0	0	427
reflection_pad2d.out	430	430	0	0	332	0	1	0	0	0	0	97
relu	429	429	0	0	0	0	0	0	4	0	0	425
tanh.out	429	429	0	0	0	0	0	0	0	0	0	429
bitwise_right_shift.Tensor_Scalar_out	429	281	148	0	0	0	0	0	1	0	0	428
div.Scalar	429	429	0	0	0	0	0	0	137	0	0	292
transpose_copy.int	429	429	0	0	322	0	0	0	1	0	0	106
sinh.out	429	429	0	0	0	0	0	0	2	0	0	427
gt.Tensor_out	429	429	0	0	0	0	0	0	7	0	0	422
sigmoid.out	429	429	0	0	0	0	0	0	3	0	0	426
trunc.out	429	0	429	0	0	0	0	0	0	0	0	429
argmax.out	429	429	0	0	0	0	0	0	383	0	0	46
remainder.Scalar	428	0	428	0	0	82	0	0	0	0	0	346
sub.out	428	428	0	0	0	0	0	0	1	0	0	427
_native_batch_norm_legit.no_stats	428	428	0	0	49	0	0	0	0	0	0	379
replication_pad1d.out	428	428	0	0	0	0	0	0	0	0	0	428
roll	428	428	0	0	0	0	0	0	4	0	0	424
fmod.Scalar_out	428	428	0	0	0	0	0	0	3	0	0	425
bmm.out	428	428	0	0	64	0	0	0	0	0	0	364
bitwise_left_shift.Tensor_out	428	265	163	0	202	133	0	0	2	0	0	91
hardtanh	427	427	0	0	0	0	0	0	6	0	0	421
rsub.Scalar	427	427	0	0	5	0	0	0	2	0	0	420
addmm.out	427	427	0	0	82	0	0	0	4	0	0	341
expand_copy	427	427	0	0	0	0	0	0	0	0	0	427
mm.out	426	426	0	0	0	0	0	0	0	0	0	426
sqrt.out	426	426	0	0	0	0	0	0	1	0	0	425
remainder.Tensor_out	426	100	326	0	27	75	0	0	0	0	0	324
argmin.out	426	426	0	0	0	0	0	0	388	0	0	38
stack	426	426	0	0	0	0	0	0	29	0	0	397
constant_pad_nd	425	425	0	0	0	0	0	0	2	0	0	423
div.Scalar_mode	425	0	425	0	0	0	0	0	0	0	0	425
where.self	425	425	0	0	0	0	0	0	0	0	0	425
bitwise_right_shift.Tensor_out	423	263	160	0	0	0	0	0	2	0	0	421
prod.out	421	421	0	0	0	0	0	0	421	0	0	0
le.Tensor_out	419	419	0	0	0	0	0	0	3	0	0	416
reflection_pad2d	417	417	0	0	352	0	0	0	0	0	0	65
fmod.Tensor_out	416	416	0	0	0	0	0	0	7	0	0	409
fmod.Scalar	415	415	0	0	0	0	0	0	4	0	0	411
sub.Scalar	413	0	413	0	0	0	0	0	19	0	0	394
ge.Tensor_out	413	413	0	0	0	0	0	0	5	0	0	408
div.out_mode	411	411	0	0	0	0	0	0	4	0	0	407
where.self_out	410	410	0	0	0	0	0	0	9	0	0	401
lt.Tensor_out	409	409	0	0	0	0	0	0	5	0	0	404
erf.out	409	409	0	0	0	0	0	0	95	0	0	314
remainder.Scalar_out	403	29	374	0	2	22	0	0	0	0	0	379
floor_divide	399	399	0	0	0	0	0	0	2	0	0	397
bitwise_and.Scalar	398	398	0	0	0	0	0	0	2	0	0	396
permute_copy	397	397	0	0	0	0	0	0	1	0	0	396
pow.Tensor_Tensor_out	396	396	0	0	0	0	0	0	6	0	0	390
prod.int_out	393	393	0	0	13	0	0	0	71	0	0	309
mul.out	392	392	0	0	0	0	0	0	2	0	0	390
floor_divide.out	392	392	0	0	0	0	0	0	3	0	0	389
max	391	391	0	0	0	0	0	0	391	0	0	0
min.dim_min	389	389	0	0	56	0	0	0	12	0	0	321
sum.IntList_out	387	387	0	0	0	0	0	0	188	0	0	199
max.dim_max	386	386	0	0	36	0	0	0	9	0	0	341
minimum.out	385	385	0	0	0	0	0	0	6	0	0	379
min.unary_out	384	384	0	0	0	0	0	0	384	0	0	0
maximum.out	383	383	0	0	0	0	0	0	5	0	0	378
abs	382	382	0	0	0	0	0	0	3	0	0	379
min	380	380	0	0	0	0	0	0	380	0	0	0
sign.out	375	375	0	0	0	0	0	0	0	0	0	375
logit.out	374	374	0	0	0	0	0	0	2	0	0	372
cumsum.out	374	374	0	0	0	0	0	0	17	0	0	357
max.unary_out	374	374	0	0	0	0	0	0	374	0	0	0
bitwise_xor.Tensor_out	345	345	0	0	0	0	0	0	2	0	0	343
bitwise_or.Scalar_out	343	189	154	0	0	0	0	0	2	0	0	341
amin.out	340	340	0	0	0	0	0	0	148	0	0	192
bitwise_or.Tensor_out	339	339	0	0	0	0	0	0	0	0	0	339
bitwise_and.Scalar_out	339	339	0	0	0	0	0	0	9	0	0	330
bitwise_and.Tensor_out	339	339	0	0	0	0	0	0	2	0	0	337
amax.out	332	332	0	0	0	0	0	0	172	0	0	160
le.Scalar_out	330	330	0	0	0	0	0	0	0	0	0	330
bitwise_xor.Scalar_out	323	174	149	0	0	0	0	0	1	0	0	322
_log_softmax.out	319	319	0	0	0	0	0	0	1	0	0	318
_softmax.out	304	304	0	0	0	0	0	0	6	0	0	298
isinf	291	291	0	0	0	0	0	0	5	0	0	286
max_pool2d_with_indices_backward.grad_input	286	286	0	0	14	0	55	0	0	0	0	217
isnan	284	284	0	0	0	0	0	0	1	0	0	283
topk.values	272	272	0	0	104	0	0	0	24	0	0	144
grid_sampler_2d	265	265	0	0	0	0	0	0	0	0	0	265
copy	209	209	0	0	0	0	0	0	4	0	0	205
