job	out	verdict	tgt_op	trigger_ops	ab	n_div	n_rep	mechanism
w100:354	1	SIBLING_DEPENDENT	ERR		DEV:TIMEOUT	0	3	
w101:730	1	SIBLING_DEPENDENT	tanh	where	A_ALSO_DIVERGES	3	3	ZEROED
w103:602	0	COMPOSITIONAL	t_copy	transpose_copy;div	B_NOREPRO	0	3	?
w106:621	0	COMPOSITIONAL	clamp	log	AB_OK	3	3	SHAPE
w109:223	0	COMPOSITIONAL	ERR		DEV:TIMEOUT	0	3	
w110:227	3	COMPOSITIONAL	ceil	sum	AB_OK	3	3	VALUE
w113:419	0	SIBLING_DEPENDENT	ERR		DEV:TIMEOUT	0	3	
w115:500	0	COMPOSITIONAL	unbind_copy	bitwise_left_shift;fmod	AB_OK	3	3	VALUE
w117:596	0	SIBLING_DEPENDENT	slice_copy	pow	AB_OK	3	3	ALIAS:n1
w11:760	0	COMPOSITIONAL	gt	slice_copy;bitwise_left_shift;alias_copy;_to_copy	AB_OK	3	3	VALUE
w121:625	3	COMPOSITIONAL	clamp	bitwise_left_shift;logical_and	AB_OK	3	3	VALUE
w124:355	1	COMPOSITIONAL	logical_xor	permute_copy;select_copy;native_group_norm;_to_copy	AB_OK	3	3	VALUE
w126:77	2	SIBLING_DEPENDENT	fmod	hardtanh	AB_OK	3	3	ZEROED
w12:91	2	COMPOSITIONAL	mul	native_group_norm;amin	AB_OK	3	3	SCALE:0.711
w15:167	0	SIBLING_DEPENDENT	permute_copy	permute_copy	AB_OK	3	3	ZEROED
w17:600	0	SIBLING_DEPENDENT	pow	sinh	AB_OK	3	3	ZEROED
w19:517	3	SIBLING_DEPENDENT	gelu	min	AB_OK	3	3	ZEROED
w1:657	2	SIBLING_DEPENDENT	squeeze_copy	constant_pad_nd	AB_OK	3	3	NONFINITE
w23:203	1	SIBLING_DEPENDENT	acos	unbind_copy	AB_OK	3	3	NONFINITE
w25:146	0	COMPOSITIONAL	abs	remainder	AB_OK	3	3	SCALE:0.167
w27:193	3	SIBLING_DEPENDENT	maximum	mean	AB_OK	3	3	ZEROED
w29:240	2	COMPOSITIONAL	fmod	native_group_norm	AB_OK	3	3	VALUE
