job	out	verdict	tgt_op	trigger_ops	ab	n_div	n_rep	mechanism
w100:659	2	SIBLING_DEPENDENT	ERR		DEV:TIMEOUT	0	3	
w102:645	0	SIBLING_DEPENDENT	ERR		DEV:TIMEOUT	0	3	
w105:12	3	SIBLING_DEPENDENT	ERR		DEV:TIMEOUT	0	3	
w107:319	1	COMPOSITIONAL	log	pow;mul;remainder	AB_OK	3	3	SHAPE
w10:13	1	SIBLING_DEPENDENT	squeeze_copy	constant_pad_nd	AB_OK	3	3	ZEROED
w111:578	0	SIBLING_DEPENDENT	min	log10	AB_OK	3	3	ZEROED
w113:773	0	COMPOSITIONAL	prod	fill	AB_OK	3	3	NONFINITE
w116:267	0	COMPOSITIONAL	ERR		DEV:TIMEOUT	0	3	
w119:501	0	COMPOSITIONAL	ERR		DEV:TIMEOUT	0	3	
w120:534	1	COMPOSITIONAL	ERR		DEV:TIMEOUT	0	3	
w123:210	3	SIBLING_DEPENDENT	pow	expand_copy	AB_OK	3	3	VALUE
w125:627	1	COMPOSITIONAL	atan2	squeeze_copy;sign;native_group_norm;constant_pad_nd	AB_OK	3	3	VALUE
w127:409	0	COMPOSITIONAL	gt	bitwise_left_shift;view_copy;rsub	AB_OK	3	3	VALUE
w13:599	2	SIBLING_DEPENDENT	ERR		DEV:TIMEOUT	0	3	
w16:33	0	SIBLING_DEPENDENT	ERR		DEV:TIMEOUT	0	3	
w18:434	0	COMPOSITIONAL	expm1	native_layer_norm	AB_OK	3	3	VALUE
w19:766	0	COMPOSITIONAL	sqrt	remainder	AB_OK	3	3	NONFINITE
w20:762	0	SIBLING_DEPENDENT	mul	sub	AB_OK	3	3	ZEROED
w24:129	4	COMPOSITIONAL	asinh	gt	AB_OK	3	3	VALUE
w26:495	1	SIBLING_DEPENDENT	flip	detach_copy	AB_OK	3	3	ZEROED
w27:641	1	COMPOSITIONAL	tan	elu;div	AB_OK	3	3	VALUE
w2:179	1	COMPOSITIONAL	atanh	bitwise_left_shift	AB_OK	3	3	NONFINITE
w31:158	2	SIBLING_DEPENDENT	acosh	mean	AB_OK	3	3	NONFINITE
w34:126	0	SIBLING_DEPENDENT	prod	lift_fresh_copy	AB_OK	3	3	ZEROED
w36:416	0	SIBLING_DEPENDENT	acos	log10	AB_OK	3	3	NONFINITE
w38:477	0	COMPOSITIONAL	remainder	native_group_norm	AB_OK	3	3	NONFINITE
w3:339	0	SIBLING_DEPENDENT	max	sigmoid	AB_OK	3	3	ZEROED
w42:13	1	COMPOSITIONAL	div	pow	AB_OK	3	3	NONFINITE
w43:41	1	SIBLING_DEPENDENT	logit	div	AB_OK	3	3	VALUE
w45:385	1	SIBLING_DEPENDENT	abs	narrow_copy	AB_OK	3	3	VALUE
w48:107	0	COMPOSITIONAL	div	view_copy;_to_copy	AB_OK	3	3	NONFINITE
w49:72	0	SIBLING_DEPENDENT	pow	t_copy	AB_OK	3	3	ZEROED
w50:276	1	SIBLING_DEPENDENT	native_group_norm	ge	AB_OK	3	3	NONFINITE
w51:57	0	SIBLING_DEPENDENT	scatter_add	tanh;relu	AB_OK	3	3	ZEROED
w53:531	0	COMPOSITIONAL	erf	bitwise_left_shift	AB_OK	3	3	ALIAS:L0
w55:621	3	COMPOSITIONAL	replication_pad3d	sum	AB_OK	3	3	VALUE
w57:719	3	COMPOSITIONAL	floor_divide	addmm;clone	AB_OK	3	3	VALUE
w5:115	1	COMPOSITIONAL	remainder	remainder	AB_OK	3	3	VALUE
w60:389	1	COMPOSITIONAL	le	view_copy;cos;_to_copy;bitwise_left_shift	AB_OK	3	3	ZEROED
w61:506	3	COMPOSITIONAL	tan	t_copy;native_group_norm;abs	AB_OK	3	3	VALUE
w63:150	2	SIBLING_DEPENDENT	logical_not	amin	AB_OK	3	3	ALIAS:n0
w65:110	3	COMPOSITIONAL	bitwise_or	sum	AB_OK	3	3	ALIAS:L1
w66:723	1	SIBLING_DEPENDENT	log10	clone	AB_OK	3	3	NONFINITE
w68:446	0	COMPOSITIONAL	amax	cos;maximum;_softmax;reciprocal;abs;var	AB_OK	3	3	VALUE
w6:237	0	COMPOSITIONAL	fmod	minimum;native_group_norm;pow	AB_OK	3	3	NONFINITE
w70:55	0	COMPOSITIONAL	atanh	remainder	AB_OK	3	3	VALUE
w71:78	2	SIBLING_DEPENDENT	abs	abs	AB_OK	3	3	ZEROED
w74:450	3	COMPOSITIONAL	abs	fmod	AB_OK	3	3	ZEROED
