op	n	f_OK	f_MISMATCH	f_SKIP	f_CRASH	q_OK	q_MISMATCH	q_SKIP	q_CRASH	changed
logical_xor	20	20	0	0	0	20	0	0	0	0
logical_xor.out	18	18	0	0	0	18	0	0	0	0
logit	18	18	0	0	0	18	0	0	0	0
logit.out	12	12	0	0	0	12	0	0	0	0
lt.Scalar_out	18	18	0	0	0	18	0	0	0	0
lt.Tensor_out	16	15	0	1	0	15	0	1	0	0
masked_fill.Scalar	18	2	0	16	0	2	0	16	0	0
masked_scatter	18	18	0	0	0	18	0	0	0	0
max	18	0	0	18	0	0	0	18	0	0
max.dim_max	19	18	1	0	0	16	0	3	0	3
max.unary_out	18	0	0	18	0	0	0	18	0	0
max_pool2d_with_indices_backward.grad_input	2	1	1	0	0	2	0	0	0	1
maximum.out	20	19	0	1	0	19	0	1	0	0
mean	11	0	0	11	0	0	0	11	0	0
mean.dtype_out	22	0	0	22	0	0	0	22	0	0
min	21	0	0	21	0	0	0	21	0	0
min.dim_min	16	14	1	0	0	14	0	2	0	3
min.unary_out	18	0	0	18	0	0	0	18	0	0
minimum.out	15	15	0	0	0	15	0	0	0	0
mm.out	18	18	0	0	0	14	0	4	0	4
mul.Scalar	23	23	0	0	0	23	0	0	0	0
mul.out	14	14	0	0	0	4	0	10	0	10
narrow_copy	38	37	0	0	1	38	0	0	0	1
narrow_copy.out	18	18	0	0	0	18	0	0	0	0
ne.Scalar_out	23	23	0	0	0	23	0	0	0	0
ne.Tensor_out	20	20	0	0	0	20	0	0	0	0
neg.out	22	22	0	0	0	22	0	0	0	0
ones.out	18	0	0	18	0	0	0	18	0	0
permute_copy	19	19	0	0	0	19	0	0	0	0
pixel_unshuffle	37	22	0	15	0	22	0	15	0	0
pow.Scalar_out	11	11	0	0	0	8	0	3	0	3
pow.Tensor_Scalar_out	14	14	0	0	0	8	0	6	0	6
pow.Tensor_Tensor_out	11	11	0	0	0	8	0	3	0	3
prod	20	0	0	20	0	0	0	20	0	0
prod.int_out	20	15	1	4	0	16	1	3	0	3
prod.out	17	0	0	17	0	0	0	17	0	0
reciprocal.out	18	18	0	0	0	18	0	0	0	0
reflection_pad1d.out	23	5	18	0	0	4	19	0	0	3
reflection_pad2d	19	1	18	0	0	1	18	0	0	2
reflection_pad2d.out	17	4	13	0	0	3	14	0	0	3
reflection_pad3d.out	23	1	22	0	0	0	23	0	0	1
relu	22	22	0	0	0	22	0	0	0	0
remainder.Scalar	22	18	4	0	0	18	4	0	0	0
remainder.Scalar_out	20	18	2	0	0	18	2	0	0	0
remainder.Tensor_out	16	8	8	0	0	9	7	0	0	3
repeat	23	23	0	0	0	23	0	0	0	0
replication_pad1d.out	22	22	0	0	0	22	0	0	0	0
replication_pad2d.out	24	24	0	0	0	24	0	0	0	0
replication_pad3d.out	22	22	0	0	0	22	0	0	0	0
roll	22	22	0	0	0	22	0	0	0	0
round.out	13	13	0	0	0	1	0	12	0	12
rsqrt.out	18	17	0	0	0	18	0	0	0	1
rsub.Scalar	19	19	0	0	0	19	0	0	0	0
scatter.src_out	22	22	0	0	0	22	0	0	0	0
scatter.value_out	22	21	0	1	0	21	0	1	0	0
scatter_add.out	20	12	0	8	0	12	0	8	0	0
select_copy.int	22	4	0	18	0	4	0	18	0	0
select_scatter	20	20	0	0	0	20	0	0	0	0
sigmoid.out	19	19	0	0	0	19	0	0	0	0
sign.out	17	17	0	0	0	17	0	0	0	0
sin.out	23	22	0	1	0	22	0	1	0	0
sinh.out	18	18	0	0	0	18	0	0	0	0
slice_copy.Tensor	22	21	0	0	0	22	0	0	0	1
slice_scatter	18	18	0	0	0	18	0	0	0	0
sqrt.out	18	18	0	0	0	14	0	4	0	4
squeeze_copy.dim	18	17	0	0	0	18	0	0	0	1
squeeze_copy.dims	17	7	0	10	0	7	0	10	0	0
stack	19	17	0	1	0	18	0	1	0	3
stack.out	21	20	0	1	0	19	0	2	0	1
sub.Scalar	22	21	0	1	0	21	0	1	0	0
sub.out	13	13	0	0	0	9	0	4	0	4
sum.IntList_out	15	7	0	8	0	6	0	9	0	1
t_copy	18	2	16	0	0	2	16	0	0	0
tan.out	24	24	0	0	0	24	0	0	0	0
tanh.out	22	22	0	0	0	22	0	0	0	0
topk.values	10	4	5	1	0	4	0	6	0	5
transpose_copy.int	22	4	18	0	0	4	18	0	0	0
tril.out	20	19	0	1	0	19	0	1	0	0
trunc.out	19	19	0	0	0	19	0	0	0	0
unfold_copy	20	10	10	0	0	11	9	0	0	1
unsqueeze_copy	23	22	0	1	0	22	0	1	0	0
var.correction	18	3	5	10	0	3	5	10	0	0
var.correction_out	18	0	8	10	0	0	11	7	0	3
view_copy	18	18	0	0	0	18	0	0	0	0
where.self	18	18	0	0	0	18	0	0	0	0
where.self_out	18	17	0	1	0	17	0	1	0	0
zeros.out	18	0	0	18	0	0	0	18	0	0
