op	annotated	n_qdq	lowered	deleg_ops	note
cos.out	no	0	-	-	
cosh.out	no	0	-	-	
cumsum.out	no	0	-	-	
detach_copy	no	0	-	-	
diagonal_copy	no	0	-	-	
div.Scalar	no	0	-	-	
div.Scalar_mode	no	0	-	-	
div.out	ERR	0	-	-	NotImplementedError: "histogram_cpu" not implemented for 'Int'
div.out_mode	YES	4	READY	5	
elu.out	no	0	-	-	
embedding	ERR	0	-	-	IndexError: list index out of range
eq.Scalar_out	no	0	-	-	
eq.Tensor_out	no	0	-	-	
erf.out	no	0	-	-	
exp.out	no	0	-	-	
expand_copy	no	0	-	-	
expm1.out	no	0	-	-	
fill.Scalar	no	0	-	-	
fill.Tensor	no	0	-	-	
flip	no	0	-	-	
floor.out	no	0	-	-	
floor_divide	no	0	-	-	
floor_divide.out	no	0	-	-	
fmod.Scalar	no	0	-	-	
fmod.Scalar_out	no	0	-	-	
fmod.Tensor_out	no	0	-	-	
full.out	no	0	-	-	
gather.out	no	0	-	-	
ge.Scalar_out	no	0	-	-	
ge.Tensor_out	no	0	-	-	
gelu.out	no	0	-	-	
glu.out	no	0	-	-	
grid_sampler_2d	no	0	-	-	
gt.Scalar_out	no	0	-	-	
gt.Tensor_out	no	0	-	-	
hardtanh	no	0	-	-	
hardtanh.out	no	0	-	-	
index.Tensor_out	no	0	-	-	
index_put	no	0	-	-	
index_select	no	0	-	-	
index_select.out	no	0	-	-	
isinf	no	0	-	-	
isnan	no	0	-	-	
le.Scalar_out	no	0	-	-	
le.Tensor_out	no	0	-	-	
leaky_relu.out	no	0	-	-	
lift_fresh_copy	no	0	-	-	
linear	YES	4	READY	7	
linear.out	YES	4	SKIP	-	to_executorch AssertionError: Expecting input to have dtype torch.floa
log.out	no	0	-	-	
log10.out	no	0	-	-	
log1p.out	no	0	-	-	
log2.out	no	0	-	-	
logical_and	no	0	-	-	
logical_and.out	no	0	-	-	
logical_not	no	0	-	-	
logical_not.out	no	0	-	-	
logical_or	no	0	-	-	
logical_or.out	no	0	-	-	
logical_xor	no	0	-	-	
logical_xor.out	no	0	-	-	
logit	no	0	-	-	
logit.out	no	0	-	-	
lt.Scalar_out	no	0	-	-	
lt.Tensor_out	no	0	-	-	
masked_fill.Scalar	no	0	-	-	
masked_scatter	no	0	-	-	
max	no	0	-	-	
max.dim_max	no	0	-	-	
max.unary_out	no	0	-	-	
max_pool2d_with_indices_backward.grad_input	no	0	-	-	
maximum.out	no	0	-	-	
mean	YES	2	READY	3	
mean.dtype_out	YES	2	READY	4	
mean.out	YES	2	SKIP	-	lower OpConversionFailure: Check 'is_conversion_successful' failed at
min	no	0	-	-	
min.dim_min	no	0	-	-	
min.unary_out	no	0	-	-	
minimum.out	no	0	-	-	
mm.out	YES	4	READY	5	
mul.Scalar	no	0	-	-	
mul.out	YES	4	READY	5	
narrow_copy	no	0	-	-	
narrow_copy.out	no	0	-	-	
native_group_norm	ERR	0	-	-	TypeError: 'NoneType' object is not iterable
native_layer_norm	ERR	0	-	-	TypeError: 'NoneType' object is not iterable
ne.Scalar_out	no	0	-	-	
ne.Tensor_out	no	0	-	-	
neg.out	no	0	-	-	
ones.out	no	0	-	-	
permute_copy	no	0	-	-	
pixel_shuffle	YES	2	SKIP	-	to_executorch AssertionError: Expecting input to have dtype torch.floa
pixel_unshuffle	no	0	-	-	
pow.Scalar_out	YES	2	READY	3	
pow.Tensor_Scalar_out	YES	2	READY	3	
pow.Tensor_Tensor_out	YES	4	READY	5	
prod	no	0	-	-	
prod.int_out	no	0	-	-	
prod.out	no	0	-	-	
reciprocal.out	no	0	-	-	
reflection_pad1d.out	no	0	-	-	
reflection_pad2d	no	0	-	-	
reflection_pad2d.out	no	0	-	-	
reflection_pad3d.out	no	0	-	-	
relu	no	0	-	-	
remainder.Scalar	no	0	-	-	
remainder.Scalar_out	no	0	-	-	
remainder.Tensor_out	no	0	-	-	
repeat	no	0	-	-	
replication_pad1d.out	no	0	-	-	
replication_pad2d.out	no	0	-	-	
replication_pad3d.out	no	0	-	-	
roll	no	0	-	-	
round.out	YES	2	READY	2	
rsqrt.out	no	0	-	-	
rsub.Scalar	no	0	-	-	
scatter.src_out	no	0	-	-	
scatter.value_out	no	0	-	-	
scatter_add.out	no	0	-	-	
select_copy.int	no	0	-	-	
select_scatter	no	0	-	-	
sigmoid.out	no	0	-	-	
sign.out	no	0	-	-	
sin.out	no	0	-	-	
sinh.out	no	0	-	-	
slice_copy.Tensor	no	0	-	-	
slice_scatter	no	0	-	-	
split_copy.Tensor	ERR	0	-	-	TypeError: 'NoneType' object is not iterable
split_with_sizes_copy	ERR	0	-	-	TypeError: 'NoneType' object is not iterable
sqrt.out	ERR	0	-	-	NotImplementedError: "histogram_cpu" not implemented for 'Byte'
squeeze_copy.dim	no	0	-	-	
squeeze_copy.dims	no	0	-	-	
stack	no	0	-	-	
stack.out	no	0	-	-	
sub.Scalar	no	0	-	-	
sub.out	ERR	0	-	-	NotImplementedError: "histogram_cpu" not implemented for 'Int'
sum.IntList_out	YES	2	READY	3	
t_copy	no	0	-	-	
tan.out	no	0	-	-	
tanh.out	no	0	-	-	
topk.values	no	0	-	-	
transpose_copy.int	no	0	-	-	
tril.out	no	0	-	-	
trunc.out	no	0	-	-	
unbind_copy.int	ERR	0	-	-	TypeError: 'NoneType' object is not iterable
unfold_copy	no	0	-	-	
unsqueeze_copy	no	0	-	-	
var.correction	no	0	-	-	
var.correction_out	no	0	-	-	
var_mean.correction	ERR	0	-	-	TypeError: 'NoneType' object is not iterable
view_copy	no	0	-	-	
where.self	no	0	-	-	
where.self_out	no	0	-	-	
zeros.out	no	0	-	-	
