op	annotated	n_qdq	lowered	deleg_ops	note
sigmoid.out	YES	2	-	-	
sign.out	YES	2	-	-	
sin.out	no	0	-	-	
sinh.out	YES	2	-	-	
slice_copy.Tensor	YES	2	-	-	
slice_scatter	no	0	-	-	
split_copy.Tensor	YES	2	-	-	
split_with_sizes_copy	YES	2	-	-	
sqrt.out	no	0	-	-	
squeeze_copy.dim	YES	2	-	-	
squeeze_copy.dims	YES	4	-	-	
stack	no	0	-	-	
stack.out	no	0	-	-	
sub.Scalar	YES	2	-	-	
sub.out	no	0	-	-	
sum.IntList_out	YES	2	-	-	
t_copy	YES	2	-	-	
tan.out	YES	2	-	-	
tanh.out	YES	2	-	-	
topk.values	no	0	-	-	
transpose_copy.int	no	0	-	-	
tril.out	YES	2	-	-	
trunc.out	YES	2	-	-	
unbind_copy.int	no	0	-	-	
unfold_copy	YES	2	-	-	
unsqueeze_copy	YES	4	-	-	
var.correction	YES	2	-	-	
var.correction_out	YES	2	-	-	
var_mean.correction	YES	2	-	-	
view_copy	YES	2	-	-	
where.self	no	0	-	-	
where.self_out	no	0	-	-	
zeros.out	no	0	-	-	
