job	out	verdict	axisA	axisB	target	cone_size	needed_siblings	needed_live	deleg_full	deleg_tgt	n_out	detail
w100:243	0	OPERATOR	CONE_LOCAL	OPERATOR	n4	2			15	4	3	
w105:209	1	ERROR										list index out of range
w110:126	2	ERROR										list index out of range
w116:365	1	ERROR										list index out of range
w121:668	1	CANT_ISOLATE										BUILD:SKIP
w127:582	0	SIBLING_DEPENDENT	SIBLING_DEPENDENT		n3		n8		10	2	4	
w17:726	0	OPERATOR	CONE_LOCAL	OPERATOR	n4	1			13	3	4	
w21:627	0	OPERATOR	CONE_LOCAL	OPERATOR	n4	2			11	5	4	
w27:493	1	SIBLING_DEPENDENT	SIBLING_DEPENDENT		n6		n3		7	4	5	
w32:382	3	CANT_ISOLATE										BUILD:SKIP
w38:506	0	SIBLING_DEPENDENT	SIBLING_DEPENDENT		n1		n5		9	3	5	
w43:420	2	SIBLING_DEPENDENT	SIBLING_DEPENDENT		n5		n4		5	1	4	
w49:169	0	OPERATOR	CONE_LOCAL	OPERATOR	n1	1			0	0	4	
w52:695	2	COMPOSITIONAL	CONE_LOCAL	COMPOSITIONAL	n6	3		n3	1	0	4	
w58:429	1	OPERATOR	CONE_LOCAL	OPERATOR	n6	2			11	4	3	
w61:683	0	SIBLING_DEPENDENT	SIBLING_DEPENDENT		n4		n9		11	4	4	
w67:2	0	CANT_ISOLATE										BUILD:SKIP
w71:78	2	SIBLING_DEPENDENT	SIBLING_DEPENDENT		n5		n6		4	1	5	
w78:662	1	SIBLING_DEPENDENT	SIBLING_DEPENDENT		n8		n10		6	1	3	
w83:704	2	CANT_ISOLATE										BUILD:SKIP
w89:431	2	SIBLING_DEPENDENT	SIBLING_DEPENDENT		n5		n7		9	3	5	
w93:8	1	OPERATOR	CONE_LOCAL	OPERATOR	n5	1			5	2	4	
w99:261	0	SIBLING_DEPENDENT	SIBLING_DEPENDENT		n5		n6		2	2	4	
w105:209	1	CANT_ISOLATE										BUILD:SKIP
w110:126	2	COMPOSITIONAL	CONE_LOCAL	COMPOSITIONAL	n11	4		n10	13	5	3	
w116:365	1	SIBLING_DEPENDENT	SIBLING_DEPENDENT		n5		n6		12	7	4	
