job	out	verdict	axisA	axisB	target	cone_size	needed_siblings	needed_live	deleg_full	deleg_tgt	n_out	detail
w10:619	2	DEV:TIMEOUT										DEV:TIMEOUT
w104:612	1	INCONCLUSIVE	CONE_LOCAL	INCONCLUSIVE	n3	1			6	2	5	
w11:775	0	COMPOSITIONAL	CONE_LOCAL	COMPOSITIONAL	n2	1		n0	0	1	4	
w115:747	3	OPERATOR	CONE_LOCAL	OPERATOR	n7	1			7	1	4	
w121:327	0	DEV:TIMEOUT										DEV:TIMEOUT
w127:292	2	ERROR										list index out of range
w17:554	0	DEV:TIMEOUT										DEV:TIMEOUT
w21:293	0	SIBLING_DEPENDENT	SIBLING_DEPENDENT		n4		n9		14	6	2	
w27:280	2	CANT_ISOLATE										BUILD:SKIP
w31:551	1	ERROR										list index out of range
w38:129	3	OPERATOR	CONE_LOCAL	OPERATOR	n6	2			6	2	5	
w43:283	1	COMPOSITIONAL	CONE_LOCAL	COMPOSITIONAL	n5	3		n1,n2,n0	0	0	4	
w48:609	2	OPERATOR	CONE_LOCAL	OPERATOR	n7	4			1	1	3	
w52:39	0	CANT_ISOLATE										BUILD:SKIP
w57:59	1	SIBLING_DEPENDENT	SIBLING_DEPENDENT		n4		n7		4	1	4	
w61:512	0	SIBLING_DEPENDENT	SIBLING_DEPENDENT		n3		n7		10	3	6	
w66:723	1	SIBLING_DEPENDENT	SIBLING_DEPENDENT		n6		n7		9	2	3	
w71:333	1	CANT_ISOLATE										BUILD:SKIP
w78:31	1	SIBLING_DEPENDENT	SIBLING_DEPENDENT		n5		n2		5	2	3	
w83:181	0	COMPOSITIONAL	CONE_LOCAL	COMPOSITIONAL	n3	2		n2	9	4	4	
w89:191	4	OPERATOR	CONE_LOCAL	OPERATOR	n7	3			13	7	6	
w93:618	1	CANT_ISOLATE										BUILD:SKIP
w98:569	1	SIBLING_DEPENDENT	SIBLING_DEPENDENT		n3		n4		9	2	6	
w10:619	2	DEV:TIMEOUT										DEV:TIMEOUT
w121:327	0	COMPOSITIONAL	CONE_LOCAL	COMPOSITIONAL	n2	1		n0	4	1	4	
w127:292	2	SIBLING_DEPENDENT	SIBLING_DEPENDENT		n8		n9		7	2	4	
w17:554	0	CANT_ISOLATE										BUILD:SKIP
w31:551	1	SIBLING_DEPENDENT	SIBLING_DEPENDENT		n3		n7		13	5	5	
w10:619	2	OPERATOR	CONE_LOCAL	OPERATOR	n9	2			9	4	4	
