job	out	verdict	axisA	axisB	target	cone_size	needed_siblings	needed_live	deleg_full	deleg_tgt	n_out	detail
w10:647	0	DEV:TIMEOUT										DEV:TIMEOUT
w104:610	3	OPERATOR	CONE_LOCAL	OPERATOR	n5	2			0	0	6	
w11:531	1	COMPOSITIONAL	CONE_LOCAL	COMPOSITIONAL	n9	8		n1	6	5	5	
w115:631	0	SIBLING_DEPENDENT	SIBLING_DEPENDENT		n3		n5,n7		7	1	4	
w121:459	0	CANT_ISOLATE										BUILD:SKIP
w127:162	1	DEV:TIMEOUT										DEV:TIMEOUT
w17:541	0	COMPOSITIONAL	CONE_LOCAL	COMPOSITIONAL	n2	2		n1	11	6	5	
w21:274	0	OPERATOR	CONE_LOCAL	OPERATOR	n1	1			9	3	5	
w27:126	1	DEV:TIMEOUT										DEV:TIMEOUT
w31:605	0	COMPOSITIONAL	CONE_LOCAL	COMPOSITIONAL	n2	1		n0	11	2	5	
w38:242	0	OPERATOR	CONE_LOCAL	OPERATOR	n2	2			0	0	4	
w43:185	0	SIBLING_DEPENDENT	SIBLING_DEPENDENT		n1		n5		12	2	5	
w48:313	2	CANT_ISOLATE										BUILD:SKIP
w52:31	0	CANT_ISOLATE										BUILD:SKIP
w57:613	0	COMPOSITIONAL	CONE_LOCAL	COMPOSITIONAL	n3	3		n2,n0,n1	1	1	6	
w61:468	1	COMPOSITIONAL	CONE_LOCAL	COMPOSITIONAL	n9	8		n4,n3,n5,n6,n0,n1	5	3	5	
w66:741	2	OPERATOR	CONE_LOCAL	OPERATOR	n8	2			6	1	3	
w71:313	1	COMPOSITIONAL	CONE_LOCAL	COMPOSITIONAL	n5	3		n2,n0,n1	4	3	4	
w78:28	1	OPERATOR	CONE_LOCAL	OPERATOR	n13	9			1	1	3	
w83:351	1	CANT_ISOLATE										BUILD:SKIP
w89:156	1	OPERATOR	CONE_LOCAL	OPERATOR	n5	3			14	7	4	
w93:565	4	OPERATOR	CONE_LOCAL	OPERATOR	n7	2			11	7	5	
w98:573	0	DEV:SKIP										DEV:SKIP
w10:647	0	COMPOSITIONAL	CONE_LOCAL	COMPOSITIONAL	n4	1		n0	5	0	4	
w127:162	1	CANT_ISOLATE										BUILD:SKIP
w27:126	1	SIBLING_DEPENDENT	SIBLING_DEPENDENT		n4		n7		7	3	4	
w98:573	0	DEV:SKIP										DEV:SKIP
w98:573	0	DEV:SKIP										DEV:SKIP
w98:573	0	DEV:SKIP										DEV:SKIP
w98:573	0	DEV:SKIP										DEV:SKIP
w98:573	0	DEV:SKIP										DEV:SKIP
w98:573	0	POISON										native-crashed 6x during localization
