job	out	verdict	axisA	axisB	target	cone_size	needed_siblings	needed_live	deleg_full	deleg_tgt	n_out	detail
w100:226	1	OPERATOR	CONE_LOCAL	OPERATOR	n5	2			9	4	5	
w104:753	1	ERROR										list index out of range
w110:240	0	OPERATOR	CONE_LOCAL	OPERATOR	n4	1			0	0	6	
w116:267	0	COMPOSITIONAL	CONE_LOCAL	COMPOSITIONAL	n3	2		n1,n0	6	1	4	
w121:625	3	COMPOSITIONAL	CONE_LOCAL	COMPOSITIONAL	n8	5		n1,n4	3	3	5	
w127:717	0	SIBLING_DEPENDENT	SIBLING_DEPENDENT		n1		n8		1	3	4	
w18:152	3	CANT_ISOLATE										BUILD:SKIP
w21:619	2	OPERATOR	CONE_LOCAL	OPERATOR	n5	2			6	1	5	
w27:445	2	SIBLING_DEPENDENT	SIBLING_DEPENDENT		n5		n7		7	4	5	
w32:411	0	COMPOSITIONAL	CONE_LOCAL	COMPOSITIONAL	n3	3		n2,n0,n1	3	0	4	
w38:544	1	SIBLING_DEPENDENT	SIBLING_DEPENDENT		n4		n5		11	4	4	
w43:279	0	SIBLING_DEPENDENT	SIBLING_DEPENDENT		n3		n6		10	4	4	
w49:131	0	SIBLING_DEPENDENT	SIBLING_DEPENDENT		n5		n6		5	2	4	
w52:559	1	SIBLING_DEPENDENT	SIBLING_DEPENDENT		n5		n7		9	4	3	
w58:40	0	CANT_ISOLATE										BUILD:SKIP
w61:506	3	COMPOSITIONAL	CONE_LOCAL	COMPOSITIONAL	n7	3		n1,n0,n5	10	6	4	
w67:220	2	COMPOSITIONAL	CONE_LOCAL	COMPOSITIONAL	n8	5		n5,n6,n7	3	3	4	
w71:718	1	OPERATOR	CONE_LOCAL	OPERATOR	n5	1			5	1	4	
w78:513	0	SIBLING_DEPENDENT	SIBLING_DEPENDENT		n5		n6		9	3	3	
w83:72	4	CANT_ISOLATE										BUILD:SKIP
w89:283	3	COMPOSITIONAL	CONE_LOCAL	COMPOSITIONAL	n8	3		n2,n1	12	6	4	
w94:134	1	DEV:SKIP										DEV:SKIP
w98:739	2	DEV:SKIP										DEV:SKIP
w104:753	1	CANT_ISOLATE										BUILD:SKIP
w94:134	1	DEV:SKIP										DEV:SKIP
w98:739	2	DEV:SKIP										DEV:SKIP
w94:134	1	DEV:SKIP										DEV:SKIP
w98:739	2	DEV:SKIP										DEV:SKIP
w94:134	1	DEV:SKIP										DEV:SKIP
w98:739	2	DEV:SKIP										DEV:SKIP
w94:134	1	DEV:SKIP										DEV:SKIP
w98:739	2	DEV:SKIP										DEV:SKIP
w94:134	1	DEV:SKIP										DEV:SKIP
w98:739	2	DEV:SKIP										DEV:SKIP
w94:134	1	POISON										native-crashed 6x during localization
w98:739	2	POISON										native-crashed 6x during localization
