job_id	out_idx	verdict	cone_size	required_siblings	detail
w123:447	1	OPERATOR	2		diverges alone (cone 2)
w123:448	0	OPERATOR	6		diverges alone (cone 6)
w123:45	0	OPERATOR	4		diverges alone (cone 4)
w123:453	0	OPERATOR	3		diverges alone (cone 3)
w123:456	3	NOREPRO	4		full graph diverges=False
w123:467	2	OPERATOR	4		diverges alone (cone 4)
w123:471	2	GRAPHOPT	5	n7	needs siblings ['n7']
w123:479	0	OPERATOR	2		diverges alone (cone 2)
w123:49	4	OPERATOR	3		diverges alone (cone 3)
w123:492	2	OPERATOR	4		diverges alone (cone 4)
w123:50	4	OPERATOR	4		diverges alone (cone 4)
w123:500	3	OPERATOR	4		diverges alone (cone 4)
w123:501	4	OPERATOR	3		diverges alone (cone 3)
w123:506	0	OPERATOR	2		diverges alone (cone 2)
w123:512	0	OPERATOR	4		diverges alone (cone 4)
w123:530	2	OPERATOR	8		diverges alone (cone 8)
w123:531	3	GRAPHOPT	6	n6	needs siblings ['n6']
