job_id	out_idx	verdict	cone_size	required_siblings	detail
w127:224	0	OPERATOR	3		diverges alone (cone 3)
w127:229	3	OPERATOR	6		diverges alone (cone 6)
w127:238	0	GRAPHOPT	5	n6	needs siblings ['n6']
w127:248	3	NOREPRO	4		full graph diverges=False
w127:253	1	NOREPRO	4		full graph diverges=False
w127:256	0	NOREPRO	4		full graph diverges=False
w127:258	0	OPERATOR	9		diverges alone (cone 9)
w127:261	3	OPERATOR	4		diverges alone (cone 4)
w127:263	0	OPERATOR	3		diverges alone (cone 3)
w127:268	0	OPERATOR	4		diverges alone (cone 4)
w127:27	2	OPERATOR	4		diverges alone (cone 4)
w127:277	1	GRAPHOPT	7	n4	needs siblings ['n4']
w127:293	0	GRAPHOPT	6	n5	needs siblings ['n5']
w127:296	1	OPERATOR	7		diverges alone (cone 7)
w127:303	0	OPERATOR	3		diverges alone (cone 3)
w127:304	1	GRAPHOPT	5	n7	needs siblings ['n7']
w127:309	2	GRAPHOPT	4	n7	needs siblings ['n7']
w127:312	1	OPERATOR	2		diverges alone (cone 2)
w127:314	0	GRAPHOPT	6	n6	needs siblings ['n6']
w127:323	1	OPERATOR	7		diverges alone (cone 7)
w127:328	1	OPERATOR	3		diverges alone (cone 3)
w127:329	4	NOREPRO	5		full graph diverges=False
w127:330	0	OPERATOR	4		diverges alone (cone 4)
w127:336	0	NOREPRO	4		full graph diverges=False
w127:337	0	OPERATOR	4		diverges alone (cone 4)
w127:344	2	GRAPHOPT	5	n7	needs siblings ['n7']
w127:346	0	OPERATOR	2		diverges alone (cone 2)
w127:347	1	OPERATOR	5		diverges alone (cone 5)
w127:35	0	OPERATOR	3		diverges alone (cone 3)
w127:350	3	NOREPRO	3		full graph diverges=False
w127:353	0	OPERATOR	4		diverges alone (cone 4)
w127:359	0	OPERATOR	3		diverges alone (cone 3)
w127:360	2	GRAPHOPT	7	n4	needs siblings ['n4']
w127:370	2	OPERATOR	4		diverges alone (cone 4)
w127:376	2	NOREPRO	3		full graph diverges=False
w127:391	0	OPERATOR	3		diverges alone (cone 3)
w127:392	0	OPERATOR	3		diverges alone (cone 3)
w127:394	3	OPERATOR	4		diverges alone (cone 4)
w127:396	1	OPERATOR	3		diverges alone (cone 3)
w127:405	0	GRAPHOPT	4	n4	needs siblings ['n4']
w127:406	0	GRAPHOPT	5	n7	needs siblings ['n7']
w127:409	0	NOREPRO	2		full graph diverges=False
w127:413	1	OPERATOR	10		diverges alone (cone 10)
w127:421	0	OPERATOR	3		diverges alone (cone 3)
w127:423	2	OPERATOR	2		diverges alone (cone 2)
w127:426	0	OPERATOR	7		diverges alone (cone 7)
w127:433	0	OPERATOR	3		diverges alone (cone 3)
w127:434	3	OPERATOR	4		diverges alone (cone 4)
w127:437	0	OPERATOR	7		diverges alone (cone 7)
w127:44	0	OPERATOR	2		diverges alone (cone 2)
w127:450	0	OPERATOR	5		diverges alone (cone 5)
w127:452	0	GRAPHOPT	10	n5,n9	needs siblings ['n5', 'n9']
w127:459	0	OPERATOR	3		diverges alone (cone 3)
w127:46	1	GRAPHOPT	5	n3	needs siblings ['n3']
w127:463	0	OPERATOR	6		diverges alone (cone 6)
w127:472	2	GRAPHOPT	4	n3	needs siblings ['n3']
w127:474	4	OPERATOR	4		diverges alone (cone 4)
w127:475	1	GRAPHOPT	6	n7	needs siblings ['n7']
w127:477	0	OPERATOR	3		diverges alone (cone 3)
w127:482	3	OPERATOR	2		diverges alone (cone 2)
w127:488	0	GRAPHOPT	4	n7	needs siblings ['n7']
w127:490	2	OPERATOR	4		diverges alone (cone 4)
w127:493	0	NOREPRO	4		full graph diverges=False
w127:496	0	OPERATOR	4		diverges alone (cone 4)
w127:498	1	GRAPHOPT	10	n8	needs siblings ['n8']
w127:500	1	OPERATOR	2		diverges alone (cone 2)
w127:503	0	NOREPRO	2		full graph diverges=False
w127:505	0	OPERATOR	3		diverges alone (cone 3)
w127:510	2	OPERATOR	2		diverges alone (cone 2)
w127:515	0	OPERATOR	5		diverges alone (cone 5)
w127:520	1	OPERATOR	4		diverges alone (cone 4)
w127:521	2	OPERATOR	2		diverges alone (cone 2)
w127:532	2	OPERATOR	4		diverges alone (cone 4)
w127:534	1	OPERATOR	5		diverges alone (cone 5)
w127:538	0	OPERATOR	4		diverges alone (cone 4)
w127:540	3	OPERATOR	4		diverges alone (cone 4)
w127:544	3	OPERATOR	4		diverges alone (cone 4)
w127:569	2	OPERATOR	7		diverges alone (cone 7)
w127:572	1	OPERATOR	4		diverges alone (cone 4)
w127:576	0	GRAPHOPT	5	n6	needs siblings ['n6']
w127:577	1	OPERATOR	6		diverges alone (cone 6)
w127:578	1	OPERATOR	3		diverges alone (cone 3)
w127:580	2	OPERATOR	4		diverges alone (cone 4)
w127:584	0	OPERATOR	7		diverges alone (cone 7)
w127:592	1	OPERATOR	4		diverges alone (cone 4)
w127:598	0	NOREPRO	4		full graph diverges=False
w127:601	0	NOREPRO	6		full graph diverges=False
w127:610	0	OPERATOR	4		diverges alone (cone 4)
w127:624	3	OPERATOR	3		diverges alone (cone 3)
w127:625	2	GRAPHOPT	8	n5	needs siblings ['n5']
w127:626	1	GRAPHOPT	6	n4	needs siblings ['n4']
w127:630	3	OPERATOR	4		diverges alone (cone 4)
w127:634	1	GRAPHOPT	7	n7	needs siblings ['n7']
w127:637	1	OPERATOR	3		diverges alone (cone 3)
w127:642	0	OPERATOR	3		diverges alone (cone 3)
w127:644	3	OPERATOR	3		diverges alone (cone 3)
