status	job	reason	graph
SKIP	w0:133	qnn_runner rc=2: 	n0=unbind_copy.int(L0,·) ; n1=rsub.Scalar(n0,·,·) ; n2=logical_or.out(n0,n1,·) ; n3=mean(n0,·) ; n4=bitwise_xor.Scalar_out(n2,·,·) ; n5=minimum.out(n4,n2,·) ; n6=to(n1,·) ; n7=bcast(n6,·) ; n8*=div.out_mode(n5,n7,·,·) ; n9*=unfold_copy(n3,·,·,·)
MISMATCH	w0:14	out[1] max|delta|=2.619e+05 (rtol=0.01 atol=0.001)	n0=bitwise_left_shift.Tensor_Scalar_out(L0,·,·) ; n1*=isinf(n0) ; n2=bitwise_xor.Scalar_out(n0,·,·) ; n3=split_copy.Tensor(n2,·,·) ; n4=bcast(n3,·) ; n5*=linear(n4,n2,·) ; n6=sin.out(n2,·) ; n7*=expm1.out(n6,·) ; n8*=select_copy.int(n4,·,·)
SKIP	w0:136	qnn_runner rc=2: 	n0=logical_xor(L0,L1) ; n1=lift_fresh_copy(n0) ; n2=to(n1,·) ; n3=rshp(n2,·) ; n4*=div.out(n1,n3,·) ; n5*=expand_copy(n3,·,·) ; n6*=select_copy.int(n1,·,·) ; n7=mul.Scalar(n2,·) ; n8=to(n3,·) ; n9=rshp(n8,·) ; n10*=bitwise_and.Tensor_out(n9,n2,·) ; n11=to(n9,·) ; n12=rshp(n11,·) ; n13*=copy(n12,n7,·)
SKIP	w0:142	qnn_runner rc=2: 	n0=mm.out(L0,L1,·) ; n1=rsqrt.out(n0,·) ; n2*=slice_copy.Tensor(n1,·,·,·,·) ; n3=log10.out(n0,·) ; n4=logit.out(n3,·,·) ; n5*=floor_divide(n0,L2) ; n6*=_fft_r2c(n1,·,·,·) ; n7=to(n0,·) ; n8=slice(n7,·,·,·,·) ; n9*=slice_scatter(n4,n8,·,·,·,·)
MISMATCH	w0:148	out[0] max|delta|=1.000e+00 (rtol=0.0 atol=0.0)	n0=neg.out(L0,·) ; n1=relu(n0) ; n2=fill.Scalar(n0,·) ; n3=remainder.Scalar_out(n2,·,·) ; n4=max.unary_out(n0,·) ; n5*=logical_xor.out(n2,n1,·) ; n6*=ceil.out(n3,·) ; n7*=asin.out(n4,·)
MISMATCH	w0:147	out[0] dtype torch.uint8 vs torch.float16	n0=elu.out(L0,·,·,·,·) ; n1=logit.out(n0,·,·) ; n2=trunc.out(n1,·) ; n3*=select_scatter(L1,n2,·,·) ; n4*=any.dims_out(n1,·,·,·) ; n5*=fmod.Scalar_out(n1,·,·) ; n6*=logical_and(n2,L2) ; n7*=reciprocal.out(n0,·)
SKIP	w0:145	qnn_runner rc=2: 	n0=bitwise_and.Scalar_out(L0,·,·) ; n1=bcast(n0,·) ; n2=remainder.Tensor_out(n1,n0,·) ; n3=le.Scalar_out(n1,·,·) ; n4*=minimum.out(L1,n3,·) ; n5*=index_select.out(n2,·,L2,·) ; n6=bitwise_not.out(n1,·) ; n7*=repeat(n1,·) ; n8*=repeat(n6,·)
SKIP	w0:150	qnn_runner rc=2: 	n0=unfold_copy(L0,·,·,·) ; n1=pow.Tensor_Scalar_out(n0,·,·) ; n2=erf.out(n1,·) ; n3=_native_batch_norm_legit_no_training(n2,·,·,L1,L2,·,·) ; n4*=amax.out(n2,·,·,·) ; n5=maximum.out(n1,L3,·) ; n6*=max(n3) ; n7*=native_group_norm(n5,·,·,·,·,·,·,·)
SKIP	w0:149	qnn_runner rc=2: 	n0=addmm.out(L0,L1,L2,·,·,·) ; n1=bitwise_or.Scalar(n0,·) ; n2=div.Scalar(n1,·) ; n3*=t_copy(n1) ; n4=to(n2,·) ; n5=bcast(n4,·) ; n6*=div.out(n1,n5,·) ; n7=to(n4,·) ; n8=slice(n7,·,·,·,·) ; n9=slice(n8,·,·,·,·) ; n10=clampr(n9,·,·) ; n11=slice(n0,·,·,·,·) ; n12=slice(n11,·,·,·,·) ; n13*=scatter.src_out(n1,·,n10,n12,·) ; n14*=fmod.Scalar_out(n5,·,·) ; n15*=min(n11)
SKIP	w0:153	qnn_runner rc=2: 	n0=narrow_copy.out(L0,·,·,·,·) ; n1*=pow.Tensor_Tensor_out(L1,n0,·) ; n2=rsqrt.out(n0,·) ; n3=scatter.value_out(n2,·,L2,·,·) ; n4*=leaky_relu.out(n3,·,·) ; n5=abs(n3) ; n6*=acosh.out(n5,·) ; n7*=pow.Tensor_Scalar_out(n3,·,·)
MISMATCH	w0:16	out[1] non-finite mismatch (nan/inf positions differ)	n0=bitwise_xor.Scalar_out(L0,·,·) ; n1=max.unary_out(n0,·) ; n2=to(n0,·) ; n3=slice(n2,·,·,·,·) ; n4*=where.self(n3,L1,n0) ; n5=to(n1,·) ; n6=bcast(n5,·) ; n7*=pow.Tensor_Tensor_out(n1,n6,·) ; n8=native_layer_norm(n6,·,·,·,·) ; n9*=remainder.Scalar(n8,·) ; n10*=atanh.out(n3,·) ; n11*=atan.out(n5,·)
