op	annotated	n_qdq	lowered	deleg_ops	note
remainder.Tensor_out	YES	6	-	-	
repeat	YES	4	-	-	
replication_pad1d.out	YES	4	-	-	
replication_pad2d.out	YES	4	-	-	
replication_pad3d.out	YES	4	-	-	
roll	YES	4	-	-	
round.out	YES	4	-	-	
rsqrt.out	ERR	0	-	-	RuntimeError: torch.histc: range of [-nan, -nan] is not finite
rsub.Scalar	YES	4	-	-	
scatter.src_out	no	0	-	-	
scatter.value_out	no	0	-	-	
scatter_add.out	no	0	-	-	
select_copy.int	YES	4	-	-	
select_scatter	no	0	-	-	
sigmoid.out	YES	4	-	-	
sign.out	YES	4	-	-	
sin.out	YES	2	-	-	
sinh.out	YES	4	-	-	
slice_copy.Tensor	YES	4	-	-	
slice_scatter	no	0	-	-	
split_copy.Tensor	YES	4	-	-	
split_with_sizes_copy	YES	4	-	-	
sqrt.out	YES	2	-	-	
squeeze_copy.dim	YES	4	-	-	
squeeze_copy.dims	YES	4	-	-	
stack	no	0	-	-	
stack.out	no	0	-	-	
sub.Scalar	YES	4	-	-	
sub.out	no	0	-	-	
sum.IntList_out	YES	4	-	-	
t_copy	YES	4	-	-	
tan.out	YES	4	-	-	
tanh.out	YES	4	-	-	
topk.values	no	0	-	-	
transpose_copy.int	no	0	-	-	
tril.out	YES	4	-	-	
trunc.out	YES	4	-	-	
unbind_copy.int	no	0	-	-	
unfold_copy	YES	4	-	-	
unsqueeze_copy	YES	4	-	-	
var.correction	YES	4	-	-	
var.correction_out	ERR	0	-	-	RuntimeError: torch.histc: range of [-nan, -nan] is not finite
var_mean.correction	YES	4	-	-	
view_copy	YES	4	-	-	
where.self	no	0	-	-	
where.self_out	no	0	-	-	
zeros.out	YES	2	-	-	
