job_id	out_idx	verdict	cone_size	required	detail
w26:712	2	SIBLING_DEPENDENT	4	n7	
w28:196	1	COMPOSITIONAL	2	n1	
w29:373	1	ERROR			DEV:CRASH
w3:352	2	CONE_LOCAL_CANT_SPLIT	2		cone_build_skip
w3:356	1	CONE_LOCAL_CANT_SPLIT	2		cone_build_skip
w3:629	0	CONE_LOCAL_CANT_SPLIT	5		cone_build_skip
w30:103	1	OPERATOR	2		
w30:301	0	COMPOSITIONAL	1	n0	
w30:326	2	OPERATOR	1		
w30:335	1	CONE_LOCAL_CANT_SPLIT	10		cone_build_skip
w31:374	2	COMPOSITIONAL	2	n3	
w31:765	0	OPERATOR	1		
w32:517	2	OPERATOR	1		
w32:587	1	DEV:TIMEOUT			DEV:TIMEOUT
w33:749	0	CONE_LOCAL_CANT_SPLIT	6		cone_build_skip
w34:721	2	CONE_LOCAL_CANT_SPLIT	2		cone_build_skip
w35:519	1	SIBLING_DEPENDENT	3	n3	
w35:53	4	OPERATOR	1		
w35:602	1	OPERATOR	6		
w35:668	3	CONE_LOCAL_CANT_SPLIT	3		cone_build_skip
w35:67	4	OPERATOR	2		
w36:188	3	COMPOSITIONAL	2	n1	
w36:769	0	SIBLING_DEPENDENT	2	n13	
w37:316	0	COMPOSITIONAL	3	n3	
w37:576	1	LOWERFAIL			BUILD:SKIP
w37:712	2	COMPOSITIONAL	2	n0,n1	
w37:757	0	CONE_LOCAL_CANT_SPLIT	11		cone_build_skip
w38:138	0	COMPOSITIONAL	1	n0	
w38:341	1	CONE_LOCAL_CANT_SPLIT	2		cone_build_skip
w38:368	1	CONE_LOCAL_CANT_SPLIT	2		cone_build_skip
w39:198	1	OPERATOR	1		
w39:281	0	CONE_LOCAL_CANT_SPLIT	2		cone_build_skip
w39:730	1	CONE_LOCAL_CANT_SPLIT	2		cone_build_skip
w4:72	0	OPERATOR	1		
w40:549	2	CONE_LOCAL_CANT_SPLIT	4		cone_build_skip
w40:658	3	CONE_LOCAL_CANT_SPLIT	3		cone_build_skip
w41:234	2	SIBLING_DEPENDENT	4	n8	
w41:377	2	CONE_LOCAL_CANT_SPLIT	6		cone_build_skip
w41:419	2	CONE_LOCAL_CANT_SPLIT	7		cone_build_skip
w42:414	0	SIBLING_DEPENDENT	2	n6	
w42:751	1	SIBLING_DEPENDENT	2	n5	
w43:103	0	CONE_LOCAL_CANT_SPLIT	1		cone_build_skip
w43:182	0	CONE_LOCAL_CANT_SPLIT	4		cone_build_skip
w43:293	0	CONE_LOCAL_CANT_SPLIT	2		cone_build_skip
w43:46	0	OPERATOR	1		
w44:116	2	CONE_LOCAL_CANT_SPLIT	5		cone_build_skip
w44:342	0	CONE_LOCAL_CANT_SPLIT	2		cone_build_skip
w44:522	3	CONE_LOCAL_CANT_SPLIT	3		cone_build_skip
w44:718	0	CONE_LOCAL_CANT_SPLIT	2		cone_build_skip
w46:181	1	COMPOSITIONAL	8	n9,n8	
w48:312	2	CONE_LOCAL_CANT_SPLIT	3		cone_build_skip
w5:136	0	LOWERFAIL			BUILD:SKIP
w5:167	4	OPERATOR	4		
w5:200	0	COMPOSITIONAL	3	n2,n1	
w49:584	3	CONE_LOCAL_CANT_SPLIT	6		cone_build_skip
w5:690	3	SIBLING_DEPENDENT	4	n3	
w50:185	0	CONE_LOCAL_CANT_SPLIT	2		cone_build_skip
w50:219	3	OPERATOR	6		
w50:411	0	COMPOSITIONAL	1	n0	
w50:550	0	CONE_LOCAL_CANT_SPLIT	1		cone_build_skip
w51:194	2	SIBLING_DEPENDENT	3	n5,n8	
w51:317	1	CONE_LOCAL_CANT_SPLIT	5		cone_build_skip
w51:43	1	SIBLING_DEPENDENT	2	n9	
w52:372	0	OPERATOR	4		
w52:531	2	OPERATOR	3		
w53:65	3	SIBLING_DEPENDENT	4	n2	
w55:114	0	OPERATOR	4		
w55:32	2	CONE_LOCAL_CANT_SPLIT	2		cone_build_skip
w56:125	1	OPERATOR	6		
w56:275	0	SIBLING_DEPENDENT	2	n9	
w56:527	3	OPERATOR	3		
w56:764	0	CONE_LOCAL_CANT_SPLIT	3		cone_build_skip
w57:301	4	SIBLING_DEPENDENT	4	n3	
w56:750	2	OPERATOR	2		
w57:80	1	CONE_LOCAL_CANT_SPLIT	5		cone_build_skip
w58:331	1	CONE_LOCAL_CANT_SPLIT	11		cone_build_skip
w58:56	2	CONE_LOCAL_CANT_SPLIT	1		cone_build_skip
w6:89	0	CONE_LOCAL_CANT_SPLIT	1		cone_build_skip
w60:167	1	OPERATOR	2		
w60:239	2	CONE_LOCAL_CANT_SPLIT	4		cone_build_skip
w61:461	0	OPERATOR	2		
w61:620	2	CONE_LOCAL_CANT_SPLIT	2		cone_build_skip
w62:181	3	OPERATOR	1		
w62:521	1	CONE_LOCAL_CANT_SPLIT	3		cone_build_skip
w62:750	0	CONE_LOCAL_CANT_SPLIT	1		cone_build_skip
w62:771	2	CONE_LOCAL_CANT_SPLIT	3		cone_build_skip
w63:177	1	OPERATOR	4		
w63:390	2	COMPOSITIONAL	4	n6,n1	
w63:485	0	CONE_LOCAL_CANT_SPLIT	5		cone_build_skip
w63:571	0	OPERATOR	4		
w63:677	0	SIBLING_DEPENDENT	3	n4,n7	
w64:598	2	OPERATOR	2		
w64:623	0	ERROR			DEV:SKIP
w65:436	0	SIBLING_DEPENDENT	3	n6	
w65:575	3	OPERATOR	2		
w66:305	1	CONE_LOCAL_CANT_SPLIT	4		cone_build_skip
w66:453	0	OPERATOR	7		
w66:501	1	OPERATOR	4		
w67:740	0	SIBLING_DEPENDENT	3	n7	
w0:153	0	DEV:TIMEOUT			DEV:TIMEOUT
w19:324	1	ERROR			DEV:SKIP
w29:373	1	ERROR			DEV:CRASH
w32:587	1	DEV:TIMEOUT			DEV:TIMEOUT
w37:576	1	LOWERFAIL			BUILD:SKIP
w5:136	0	LOWERFAIL			BUILD:SKIP
w64:623	0	ERROR			DEV:SKIP
w68:425	0	OPERATOR	1		
w69:481	0	DEV:TIMEOUT			DEV:TIMEOUT
w69:513	1	SIBLING_DEPENDENT	3	n3	
w69:58	0	SIBLING_DEPENDENT	3	n4	
