w100:617	1	out[1] max|delta|=1.000e+00 (rtol=0.01 atol=0.001)
w100:560	1	out[1] max|delta|=3.258e+00 (rtol=0.01 atol=0.001)
w100:770	0	out[0] non-finite mismatch (nan/inf positions differ)
w101:189	2	out[2] max|delta|=3.459e+18 (rtol=0.0 atol=0.0)
w100:98	0	out[0] max|delta|=1.187e+00 (rtol=0.01 atol=0.001)
w100:694	0	out[0] non-finite mismatch (nan/inf positions differ)
w101:301	0	out[0] max|delta|=1.000e+00 (rtol=0.0 atol=0.0)
w101:116	0	out[0] max|delta|=1.100e+01 (rtol=0.0 atol=0.0)
w101:39	1	out[1] max|delta|=1.424e+00 (rtol=0.01 atol=0.001)
w101:291	1	out[1] max|delta|=1.000e+00 (rtol=0.0 atol=0.0)
w101:45	0	out[0] non-finite mismatch (nan/inf positions differ)
w101:421	3	out[3] max|delta|=3.000e+00 (rtol=0.0 atol=0.0)
w101:432	0	out[0] max|delta|=1.729e+18 (rtol=0.01 atol=0.001)
w101:520	1	out[1] max|delta|=1.000e+00 (rtol=0.01 atol=0.001)
w101:557	3	out[3] max|delta|=2.000e+00 (rtol=0.0 atol=0.0)
w101:605	0	out[0] max|delta|=6.000e+00 (rtol=0.0 atol=0.0)
w101:635	2	out[2] max|delta|=1.562e-02 (rtol=0.01 atol=0.001)
w101:730	1	out[1] max|delta|=4.456e-01 (rtol=0.01 atol=0.001)
w101:719	2	out[2] max|delta|=2.147e+09 (rtol=0.0 atol=0.0)
w102:196	0	out[0] max|delta|=1.000e+00 (rtol=0.0 atol=0.0)
w102:166	2	out[2] non-finite mismatch (nan/inf positions differ)
w102:251	1	out[1] max|delta|=1.000e+00 (rtol=0.0 atol=0.0)
w102:189	1	out[1] max|delta|=1.000e+00 (rtol=0.01 atol=0.001)
w102:300	0	out[0] max|delta|=2.000e+00 (rtol=0.0 atol=0.0)
w102:298	0	out[0] non-finite mismatch (nan/inf positions differ)
w102:265	0	out[0] max|delta|=1.000e+00 (rtol=0.01 atol=0.001)
w102:424	2	out[2] non-finite mismatch (nan/inf positions differ)
w102:35	0	out[0] max|delta|=1.122e-02 (rtol=0.01 atol=0.001)
w102:392	2	out[2] non-finite mismatch (nan/inf positions differ)
w102:378	1	out[1] max|delta|=1.000e+00 (rtol=0.0 atol=0.0)
w102:502	0	out[0] non-finite mismatch (nan/inf positions differ)
w102:567	2	out[2] non-finite mismatch (nan/inf positions differ)
w102:554	0	out[0] max|delta|=3.381e+00 (rtol=0.01 atol=0.001)
w102:545	1	out[1] non-finite mismatch (nan/inf positions differ)
w102:443	2	out[2] non-finite mismatch (nan/inf positions differ)
w102:489	0	out[0] max|delta|=1.000e+00 (rtol=0.01 atol=0.001)
w102:645	0	out[0] non-finite mismatch (nan/inf positions differ)
w102:563	0	out[0] non-finite mismatch (nan/inf positions differ)
w102:762	2	out[2] max|delta|=7.000e+00 (rtol=0.01 atol=0.001)
w102:658	0	out[0] non-finite mismatch (nan/inf positions differ)
w102:570	2	out[2] non-finite mismatch (nan/inf positions differ)
w102:736	0	out[0] max|delta|=1.000e+00 (rtol=0.0 atol=0.0)
w102:697	2	out[2] max|delta|=2.147e+09 (rtol=0.0 atol=0.0)
w102:82	0	out[0] max|delta|=5.205e-01 (rtol=0.01 atol=0.001)
w103:100	1	out[1] non-finite mismatch (nan/inf positions differ)
w102:77	0	out[0] max|delta|=7.000e+00 (rtol=0.01 atol=0.001)
w103:20	2	out[2] max|delta|=9.223e+18 (rtol=0.0 atol=0.0)
w103:221	2	out[2] max|delta|=1.000e+00 (rtol=0.0 atol=0.0)
w103:163	2	out[2] max|delta|=2.246e-02 (rtol=0.01 atol=0.001)
w103:321	1	out[1] max|delta|=8.813e-01 (rtol=0.01 atol=0.001)
w103:470	0	out[0] max|delta|=2.560e+02 (rtol=0.01 atol=0.001)
w103:40	0	out[0] max|delta|=2.527e+00 (rtol=0.01 atol=0.001)
w103:482	3	out[3] max|delta|=2.147e+09 (rtol=0.0 atol=0.0)
w103:53	0	out[0] max|delta|=3.000e+00 (rtol=0.01 atol=0.001)
w103:473	2	out[2] max|delta|=1.268e+00 (rtol=0.01 atol=0.001)
w103:472	2	out[2] non-finite mismatch (nan/inf positions differ)
w103:492	0	out[0] max|delta|=5.890e+00 (rtol=0.01 atol=0.001)
w103:414	1	out[1] max|delta|=2.000e+00 (rtol=0.01 atol=0.001)
w103:580	3	out[3] non-finite mismatch (nan/inf positions differ)
w103:602	0	out[0] max|delta|=1.393e+00 (rtol=0.01 atol=0.001)
w103:698	0	out[0] max|delta|=4.323e+17 (rtol=0.0 atol=0.0)
w103:654	4	out[4] max|delta|=1.000e+00 (rtol=0.0 atol=0.0)
w103:81	2	out[2] max|delta|=3.000e+00 (rtol=0.01 atol=0.001)
w103:600	0	out[0] non-finite mismatch (nan/inf positions differ)
w103:715	3	out[3] max|delta|=2.000e+00 (rtol=0.01 atol=0.001)
w104:105	1	out[1] max|delta|=2.730e+01 (rtol=0.01 atol=0.001)
w104:278	4	out[4] max|delta|=2.000e+00 (rtol=0.0 atol=0.0)
w104:241	0	out[0] max|delta|=5.000e+00 (rtol=0.01 atol=0.001)
w104:305	0	out[0] max|delta|=1.353e+00 (rtol=0.01 atol=0.001)
w104:353	1	out[1] max|delta|=1.000e+00 (rtol=0.01 atol=0.001)
w104:361	2	out[2] max|delta|=6.482e+00 (rtol=0.01 atol=0.001)
w104:56	5	out[5] max|delta|=2.340e+02 (rtol=0.0 atol=0.0)
w104:569	0	out[0] max|delta|=6.000e+00 (rtol=0.0 atol=0.0)
w104:610	3	out[3] max|delta|=2.000e+00 (rtol=0.01 atol=0.001)
w104:612	1	out[1] max|delta|=2.000e+00 (rtol=0.01 atol=0.001)
w104:674	0	out[0] max|delta|=1.484e-01 (rtol=0.01 atol=0.001)
w104:707	2	out[2] non-finite mismatch (nan/inf positions differ)
w104:615	0	out[0] non-finite mismatch (nan/inf positions differ)
w105:12	3	out[3] max|delta|=2.000e+00 (rtol=0.01 atol=0.001)
w105:162	3	out[3] non-finite mismatch (nan/inf positions differ)
w104:9	4	out[4] non-finite mismatch (nan/inf positions differ)
w104:753	1	out[1] non-finite mismatch (nan/inf positions differ)
w105:209	1	out[1] non-finite mismatch (nan/inf positions differ)
w105:276	3	out[3] non-finite mismatch (nan/inf positions differ)
w105:291	0	out[0] max|delta|=1.153e+18 (rtol=0.01 atol=0.001)
w105:260	1	out[1] non-finite mismatch (nan/inf positions differ)
w105:235	1	out[1] max|delta|=1.000e+00 (rtol=0.0 atol=0.0)
w105:28	1	out[1] non-finite mismatch (nan/inf positions differ)
w105:388	1	out[1] max|delta|=2.000e+00 (rtol=0.01 atol=0.001)
w105:292	2	out[2] max|delta|=2.306e+18 (rtol=0.01 atol=0.001)
w105:425	0	out[0] non-finite mismatch (nan/inf positions differ)
w105:478	4	out[4] max|delta|=8.000e+00 (rtol=0.01 atol=0.001)
w105:424	0	out[0] non-finite mismatch (nan/inf positions differ)
w105:494	1	out[1] non-finite mismatch (nan/inf positions differ)
w105:674	3	out[3] max|delta|=2.000e+00 (rtol=0.01 atol=0.001)
w105:692	2	out[2] non-finite mismatch (nan/inf positions differ)
w105:90	0	out[0] max|delta|=6.918e+18 (rtol=0.0 atol=0.0)
w105:98	4	out[4] max|delta|=1.638e+04 (rtol=0.0 atol=0.0)
w105:761	0	out[0] max|delta|=4.000e+00 (rtol=0.0 atol=0.0)
w106:207	1	out[1] non-finite mismatch (nan/inf positions differ)
w106:109	0	out[0] non-finite mismatch (nan/inf positions differ)
w106:252	1	out[1] non-finite mismatch (nan/inf positions differ)
w106:327	1	out[1] max|delta|=3.000e+00 (rtol=0.01 atol=0.001)
w106:425	0	out[0] max|delta|=2.490e+02 (rtol=0.0 atol=0.0)
w106:37	0	out[0] non-finite mismatch (nan/inf positions differ)
w106:33	0	out[0] max|delta|=1.000e+00 (rtol=0.0 atol=0.0)
w106:512	1	out[1] max|delta|=4.000e+00 (rtol=0.0 atol=0.0)
w106:573	1	out[1] non-finite mismatch (nan/inf positions differ)
w106:621	0	out[0] non-finite mismatch (nan/inf positions differ)
w106:670	1	out[1] max|delta|=8.574e-01 (rtol=0.01 atol=0.001)
w106:67	0	out[0] non-finite mismatch (nan/inf positions differ)
w106:68	0	out[0] max|delta|=4.824e-01 (rtol=0.01 atol=0.001)
w106:84	1	out[1] non-finite mismatch (nan/inf positions differ)
w107:105	2	out[2] non-finite mismatch (nan/inf positions differ)
w107:205	2	out[2] non-finite mismatch (nan/inf positions differ)
w107:168	1	out[1] max|delta|=1.000e+00 (rtol=0.0 atol=0.0)
w107:200	0	out[0] max|delta|=4.825e+00 (rtol=0.01 atol=0.001)
w107:300	0	out[0] max|delta|=4.000e+00 (rtol=0.0 atol=0.0)
w107:109	0	out[0] non-finite mismatch (nan/inf positions differ)
w107:231	1	out[1] non-finite mismatch (nan/inf positions differ)
w107:143	0	out[0] max|delta|=6.436e-01 (rtol=0.01 atol=0.001)
w107:260	2	out[2] max|delta|=6.201e-01 (rtol=0.01 atol=0.001)
w107:319	1	out[1] max|delta|=1.719e-01 (rtol=0.01 atol=0.001)
w107:400	1	out[1] non-finite mismatch (nan/inf positions differ)
