status	job	reason	graph
MISMATCH	w1:420	out[0] non-finite mismatch (nan/inf positions differ)	n0*=_native_batch_norm_legit(L0,·,·,L1,L2,·,·,·)
MISMATCH	w1:447	out[0] non-finite mismatch (nan/inf positions differ)	n0*=gelu.out(L0,·,·)
SKIP	w1:594	client RuntimeError: method->execute() failed with error 0x12 | [utils.h:38] SlimTensor storage_offset must be 0, got 1 [method.cpp:1525] CALL_DELEGATE execute failed at instruction 0: 0x12	n0*=select_copy.int(L0,·,·)
MISMATCH	w1:626	out[0] shape (1, 1, 1) vs (0, 0, 0, 0, 0)	n0*=topk.values(L0,·,·,·,·,L1,L2)
MISMATCH	w1:651	out[0] non-finite mismatch (nan/inf positions differ)	n0*=_native_batch_norm_legit(L0,·,·,L1,L2,·,·,·)
MISMATCH	w1:74	out[0] non-finite mismatch (nan/inf positions differ)	n0*=floor_divide(L0,L1)
SKIP	w1:75	client RuntimeError: method->execute() failed with error 0x12 | [utils.h:55] dtype mismatch, SlimTensor dtype 11 != ETensor dtype 0 [method.cpp:1525] CALL_DELEGATE execute failed at instruction 0: 0x12	n0*=any.all_out(L0,·)
MISMATCH	w1:757	out[0] max|delta|=1.678e+07 (rtol=0.0 atol=0.0)	n0*=bitwise_right_shift.Tensor_Scalar(L0,·)
MISMATCH	w1:758	out[0] non-finite mismatch (nan/inf positions differ)	n0*=floor_divide.out(L0,L1,·)
SKIP	w10:103	client RuntimeError: method->execute() failed with error 0x12 | [utils.h:55] dtype mismatch, SlimTensor dtype 11 != ETensor dtype 0 [method.cpp:1525] CALL_DELEGATE execute failed at instruction 0: 0x12	n0*=any.dims_out(L0,·,·,·)
MISMATCH	w10:140	out[0] non-finite mismatch (nan/inf positions differ)	n0*=floor_divide(L0,L1)
MISMATCH	w10:170	out[0] non-finite mismatch (nan/inf positions differ)	n0*=grid_sampler_2d(L0,L1,·,·,·)
MISMATCH	w10:171	out[0] max|delta|=1.342e+10 (rtol=0.0 atol=0.0)	n0*=bitwise_left_shift.Tensor_Scalar(L0,·)
SKIP	w10:198	client RuntimeError: method->execute() failed with error 0x12 | [utils.h:38] SlimTensor storage_offset must be 0, got 1 [method.cpp:1525] CALL_DELEGATE execute failed at instruction 0: 0x12	n0*=select_copy.int(L0,·,·)
MISMATCH	w10:24	out[0] max|delta|=2.091e+20 (rtol=0.01 atol=0.001)	n0*=_native_batch_norm_legit(L0,·,·,L1,L2,·,·,·)
MISMATCH	w10:255	out[0] non-finite mismatch (nan/inf positions differ)	n0*=_native_batch_norm_legit(L0,·,·,L1,L2,·,·,·)
MISMATCH	w10:282	out[0] non-finite mismatch (nan/inf positions differ)	n0*=gelu.out(L0,·,·)
MISMATCH	w10:337	out[0] max|delta|=3.277e+04 (rtol=0.0 atol=0.0)	n0*=prod.out(L0,·,·)
MISMATCH	w10:361	out[0] max|delta|=1.342e+10 (rtol=0.0 atol=0.0)	n0*=bitwise_right_shift.Tensor_Scalar(L0,·)
MISMATCH	w10:402	out[0] max|delta|=7.205e+16 (rtol=0.0 atol=0.0)	n0*=bitwise_left_shift.Tensor_Scalar(L0,·)
SKIP	w10:407	client RuntimeError: method->execute() failed with error 0x12 | [utils.h:45] SlimTensor must be contiguous [method.cpp:1525] CALL_DELEGATE execute failed at instruction 0: 0x12	n0*=slice_copy.Tensor(L0,·,·,·,·)
MISMATCH	w10:401	out[0] non-finite mismatch (nan/inf positions differ)	n0*=grid_sampler_2d(L0,L1,·,·,·)
SKIP	w10:429	client RuntimeError: method->execute() failed with error 0x12 | [utils.h:38] SlimTensor storage_offset must be 0, got 1 [method.cpp:1525] CALL_DELEGATE execute failed at instruction 0: 0x12	n0*=select_copy.int(L0,·,·)
MISMATCH	w10:486	out[0] non-finite mismatch (nan/inf positions differ)	n0*=_native_batch_norm_legit(L0,·,·,L1,L2,·,·,·)
MISMATCH	w10:513	out[0] non-finite mismatch (nan/inf positions differ)	n0*=gelu.out(L0,·,·)
MISMATCH	w10:621	out[0] non-finite mismatch (nan/inf positions differ)	n0*=elu.out(L0,·,·,·,·)
MISMATCH	w10:633	out[0] max|delta|=7.206e+16 (rtol=0.0 atol=0.0)	n0*=bitwise_left_shift.Tensor_Scalar(L0,·)
SKIP	w10:638	client RuntimeError: method->execute() failed with error 0x12 | [utils.h:45] SlimTensor must be contiguous [method.cpp:1525] CALL_DELEGATE execute failed at instruction 0: 0x12	n0*=slice_copy.Tensor(L0,·,·,·,·)
SKIP	w10:660	client RuntimeError: method->execute() failed with error 0x12 | [utils.h:38] SlimTensor storage_offset must be 0, got 1 [method.cpp:1525] CALL_DELEGATE execute failed at instruction 0: 0x12	n0*=select_copy.int(L0,·,·)
MISMATCH	w10:66	out[0] shape (1, 1) vs (0, 0, 0, 0)	n0*=max.dim_max(L0,·,·,L1,L2)
MISMATCH	w10:692	out[0] shape (1, 1, 1) vs (0, 0, 0, 0)	n0*=topk.values(L0,·,·,·,·,L1,L2)
MISMATCH	w10:717	out[0] non-finite mismatch (nan/inf positions differ)	n0*=_native_batch_norm_legit(L0,·,·,L1,L2,·,·,·)
MISMATCH	w10:744	out[0] non-finite mismatch (nan/inf positions differ)	n0*=gelu.out(L0,·,·)
SKIP	w10:97	client RuntimeError: method->execute() failed with error 0x1 | /tmp/torchinductor_jwen929/cu/ccu7t6k2vihyb7dvnvexjd7yu3bcxar2ojogbxxfnkcsguhszxy4.py:27: unknown: block: [0,0,0], thread: [0,0,0] Assertion `index out of bounds: 0 <= tmp0 < 6` failed. /tmp/torchinductor_jwen929/cu/ccu7t6k2vihyb7dvnvexjd7yu3bcxar2ojogbxxfnkcsguhszxy4.py:27: unknown: block: [0,0,0], thread: [1,0,0] Assertion `index out of bounds: 0 <= tmp0 < 6` failed. /tmp/torchinductor_jwen929/cu/ccu7t6k2vihyb7dvnvexjd7yu3bcxar2ojogbxxfnkcsguhszxy4.py:27: unknown: block: [0,0,0], thread: [8,0,0] Assertion `index out of bounds: 0 <= tmp0 < 6` failed. /tmp/torchinductor_jwen929/cu/ccu7t6k2vihyb7dvnvexjd7yu3bcxar2ojogbxxfnkcsguhszxy4.py:27: unknown: block: [0,0,0], thread: [9,0,0] Assertion `index out of bounds: 0 <= tmp0 < 6` failed. /tmp/torchinductor_jwen929/cu/ccu7t6k2vihyb7dvnvexjd7yu3bcxar2ojogbxxfnkcsguhszxy4.py:27: unknown: block: [0,0,0], thread: [16,0,0] Assertion `index out of bounds: 0 <= tmp0 < 6` failed. /tmp/torchinductor_jwen929/cu/ccu7t6k2vihyb7dvnvexjd7yu3bcxar2ojogbxxfnkcsguhszxy4.py:27: unknown: block: [0,0,0], thread: [17,0,0] Assertion `index out of bounds: 0 <= tmp0 < 6` failed. /tmp/torchinductor_jwen929/cu/ccu7t6k2vihyb7dvnvexjd7yu3bcxar2ojogbxxfnkcsguhszxy4.py:27: unknown: block: [0,0,0], thread: [24,0,0] Assertion `index out of bounds: 0 <= tmp0 < 6` failed. /tmp/torchinductor_jwen929/cu/ccu7t6k2vihyb7dvnvexjd7yu3bcxar2ojogbxxfnkcsguhszxy4.py:27: unknown: block: [0,0,0], thread: [25,0,0] Assertion `index out of bounds: 0 <= tmp0 < 6` failed. [cuda_allocator.cpp:231] cudaFreeAsync failed: device-side assert triggered (ptr=0x320000000, device -1) [cuda_allocator.cpp:231] cudaFreeAsync failed: device-side assert triggered (ptr=0x320000a00, device -1) [cuda_allocator.cpp:231] cudaFreeAsync failed: device-side assert triggered (ptr=0x320000600, device -1) [cuda_allocator.cpp:231] cudaFreeAsync failed: device-side assert triggered (ptr=0x320000200, device -1) Error: CUDA driver error: device-side assert triggered [cuda_allocator.cpp:231] cudaFreeAsync failed: device-side assert triggered (ptr=0x320000800, device -1) [method.cpp:1525] CALL_DELEGATE execute failed at instruction 0: 0x1	n0*=max_pool2d_with_indices_backward.grad_input(L0,L1,·,·,·,·,·,L2,L3)
SKIP	w100:104	client RuntimeError: Failed to load method forward, error: 0x:1 | [method.cpp:128] Init failed for backend CudaBackend: 0x1	n0*=lt.Tensor_out(L0,L1,·)
