op	samples	OK	MISMATCH	CRASH	SKIP	TIMEOUT
bmm.out	424	424	0	0	0	0
le.Tensor_out	430	430	0	0	0	0
reflection_pad2d	430	430	0	0	0	0
sigmoid.out	429	429	0	0	0	0
trunc.out	429	429	0	0	0	0
asin.out	430	430	0	0	0	0
bitwise_or.Scalar	431	431	0	0	0	0
select_scatter	431	431	0	0	0	0
acosh.out	432	432	0	0	0	0
pow.Scalar_out	325	325	0	0	0	0
where.self	435	435	0	0	0	0
max	437	437	0	0	0	0
_log_softmax.out	436	436	0	0	0	0
ne.Scalar_out	434	434	0	0	0	0
cosh.out	437	437	0	0	0	0
div.out	438	438	0	0	0	0
clone	434	434	0	0	0	0
logical_not	435	435	0	0	0	0
reflection_pad1d.out	435	435	0	0	0	0
arange.out	437	437	0	0	0	0
fmod.Tensor_out	423	423	0	0	0	0
sin.out	436	436	0	0	0	0
atan2.out	437	437	0	0	0	0
log.out	437	437	0	0	0	0
bitwise_xor.Scalar	438	438	0	0	0	0
tan.out	437	437	0	0	0	0
replication_pad2d.out	438	438	0	0	0	0
index_select	110	110	0	0	0	0
logit	438	438	0	0	0	0
add.Scalar	26	26	0	0	0	0
log10.out	435	435	0	0	0	0
argmax.out	435	435	0	0	0	0
masked_scatter	435	435	0	0	0	0
exp.out	439	439	0	0	0	0
max.unary_out	335	335	0	0	0	0
ne.Tensor_out	434	434	0	0	0	0
min.unary_out	345	345	0	0	0	0
expand_copy	208	208	0	0	0	0
index_select.out	64	64	0	0	0	0
sub.Scalar	32	32	0	0	0	0
gather.out	10	10	0	0	0	0
scatter.value_out	21	21	0	0	0	0
embedding	2	2	0	0	0	0
