op	verdict	job	out	detail	eager	device	in_dtypes
bitwise_or.Tensor_out	CLEAN	w101:96	0	op reproduces eager alone	""	""	""
bitwise_right_shift.Tensor_Scalar	GENUINE	w108:573	2	out[0] dtype torch.int32 vs torch.int64	[-1.0, -1.0, -1.0, 0.0, -1.0, -1.0]	[-7.0, -7.0, -7.0, 0.0, -7.0, -5.0]	["torch.int32"]
bitwise_right_shift.Tensor_Scalar_out	GENUINE	w116:353	1	out[0] max|delta|=5.110e+02 (rtol=0.0 atol=0.0)	[-1.0, -1.0, 0.0, 0.0]	[-256.0, -512.0, 0.0, 0.0]	["torch.int64"]
bitwise_right_shift.Tensor_out	GENUINE	w35:552	1	out[0] max|delta|=1.000e+00 (rtol=0.0 atol=0.0)	[0.0, 0.0, -1.0, 0.0, 0.0, -1.0]	[0.0, 0.0, -1.0, 1.0, 0.0, -1.0]	["torch.int64", "torch.int64"]
bitwise_xor.Scalar	CLEAN	w106:160	0	op reproduces eager alone	""	""	""
bitwise_xor.Scalar_out	CLEAN	w106:199	1	op reproduces eager alone	""	""	""
bitwise_xor.Tensor_out	GENUINE	w100:700	0	out[0] max|delta|=3.000e+00 (rtol=0.0 atol=0.0)	[0.0, 0.0]	[-3.0, -3.0]	["torch.int32", "torch.int32", "torch.int32"]
bmm.out	GENUINE	w105:184	1	out[0] max|delta|=4.732e+00 (rtol=0.01 atol=0.001)	[1.27289, 0.97996, -0.84106, -1.36849, -0.9192, -0.70767]	[1.27289, 0.97996, -0.84106, -1.36849, -0.9192, -0.70767]	["torch.float32", "torch.float32"]
ceil.out	CLEAN	w101:936	2	op reproduces eager alone	""	""	""
clamp.Tensor_out	GENUINE	w0:379	0	out[0] max|delta|=1.200e+01 (rtol=0.0 atol=0.0)	[6.0, 6.0, 6.0, 6.0, 6.0, 6.0]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	["torch.int32"]
clamp.out	GENUINE	w104:379	1	out[0] max|delta|=2.000e+00 (rtol=0.01 atol=0.001)	[-3.0]	[-5.0]	["torch.int64"]
clone	GENUINE	w102:507	0	out[0] max|delta|=1.000e+00 (rtol=0.0 atol=0.0)	[0.0, 0.0, 1.0, 1.0, 0.0, 0.0]	[0.0, 0.0, 1.0, 1.0, 0.0, 0.0]	["torch.bool"]
constant_pad_nd	GENUINE	w100:72	0	out[0] max|delta|=1.570e+00 (rtol=0.01 atol=0.001)	[-0.78516, -0.0, 0.78516, -0.78516, 0.0, 0.0]	[-0.78516, -0.0, 0.78516, -0.78516, 0.0, 0.0]	["torch.float16"]
convolution	CLEAN	w10:296	1	op reproduces eager alone	""	""	""
