op	verdict	job	out	detail	eager	device	in_dtypes
leaky_relu.out	GENUINE	w103:622	1	out[0] max|delta|=1.725e+00 (rtol=0.01 atol=0.001)	[0.0, 1.11035, 1.16359, 0.0, 1.72459, 0.0]	[0.0, 1.11035, 1.16359, 0.0, 0.0, 1.11035]	["torch.float32"]
lift_fresh_copy	GENUINE	w100:65	0	out[0] max|delta|=4.576e+00 (rtol=0.01 atol=0.001)	[1.17719, 0.90628, -0.77782, -1.26559, 0.16879, 0.12995]	[1.17719, 0.90628, -0.77782, -1.26559, 0.16879, 0.12995]	["torch.float32"]
linear	CLEAN	w0:14	1	op reproduces eager alone	""	""	""
linear.out	GENUINE	w106:516	3	out[0] max|delta|=1.300e+01 (rtol=0.0 atol=0.0)	[-10.0, 6.0, -7.0, -3.0, 6.0, -3.0]	[-10.0, 6.0, -7.0, -3.0, 6.0, -3.0]	["torch.int64", "torch.int64"]
log.out	CLEAN	w20:562	0	op reproduces eager alone	""	""	""
log10.out	CLEAN	w37:305	0	op reproduces eager alone	""	""	""
log1p.out	CLEAN	w107:227	3	op reproduces eager alone	""	""	""
log2.out	NONFINITE_OUT	w108:309	2	out[0] dtype torch.float16 vs torch.bool	[-Infinity, -Infinity]	[0.0, 0.0]	["torch.int64"]
logical_and	CLEAN	w113:757	0	op reproduces eager alone	""	""	""
logical_and.out	CLEAN	w0:245	0	op reproduces eager alone	""	""	""
logical_not	CLEAN	w106:367	1	op reproduces eager alone	""	""	""
logical_not.out	CLEAN	w106:709	0	op reproduces eager alone	""	""	""
logical_or	CLEAN	w108:207	0	op reproduces eager alone	""	""	""
logical_or.out	CLEAN	w115:634	1	op reproduces eager alone	""	""	""
logical_xor	CLEAN	w101:11	1	op reproduces eager alone	""	""	""
logical_xor.out	NONFINITE_OUT	w100:749	1	out[0] dtype torch.int32 vs torch.float32	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]	[-Infinity, -1.38629, -1.38629, -1.38629, -Infinity, -1.38629]	["torch.float32", "torch.int32"]
logit	NONFINITE_OUT	w110:20	2	out[0] non-finite mismatch (nan/inf positions differ)	[-2.16866, NaN, NaN, NaN, -2.16866, NaN]	[-2.16866, NaN, NaN, NaN, -2.16866, NaN]	["torch.float32"]
logit.out	NONFINITE_OUT	w16:415	3	out[0] non-finite mismatch (nan/inf positions differ)	[-1.72363, -Infinity, NaN, NaN, -Infinity, NaN]	[-1.72266, -Infinity, NaN, NaN, -Infinity, NaN]	["torch.float16"]
lt.Scalar_out	CLEAN	w108:596	3	op reproduces eager alone	""	""	""
lt.Tensor_out	GENUINE	w103:700	1	out[0] max|delta|=1.000e+00 (rtol=0.0 atol=0.0)	[0.0, 1.0, 1.0, 0.0, 1.0, 1.0]	[0.0, 1.0, 1.0, 0.0, 1.0, 1.0]	["torch.int64", "torch.int64"]
masked_fill.Scalar	GENUINE	w23:480	0	out[0] dtype torch.float16 vs torch.bool	[-1.0, -0.98242, 1.0, 1.01855]	[1.0, 0.0, 0.0, 0.0]	["torch.float16", "torch.bool"]
masked_scatter	CLEAN	w101:928	0	op reproduces eager alone	""	""	""
max	CLEAN	w104:495	0	op reproduces eager alone	""	""	""
max.dim_max	GENUINE	w102:91	3	out[0] max|delta|=8.000e+00 (rtol=0.0 atol=0.0)	[-3.0, -1.0, 4.0, -1.0, 4.0, 3.0]	[-3.0, -1.0, 4.0, -1.0, 4.0, 3.0]	["torch.int64", "torch.int64", "torch.int64"]
