job_id	out_idx	verdict	cone_size	required_siblings	detail
w23:238	0	NOREPRO	5		full graph diverges=False
w23:244	2	OPERATOR	6		diverges alone (cone 6)
w23:247	3	OPERATOR	4		diverges alone (cone 4)
w23:251	0	OPERATOR	2		diverges alone (cone 2)
w23:296	1	OPERATOR	3		diverges alone (cone 3)
w23:306	2	OPERATOR	7		diverges alone (cone 7)
w23:324	3	OPERATOR	5		diverges alone (cone 5)
w23:335	5	GRAPHOPT	3	n6	needs siblings ['n6']
w23:37	0	OPERATOR	3		diverges alone (cone 3)
w23:388	1	OPERATOR	7		diverges alone (cone 7)
w23:397	2	OPERATOR	3		diverges alone (cone 3)
w23:407	0	OPERATOR	2		diverges alone (cone 2)
w23:422	1	OPERATOR	9		diverges alone (cone 9)
w23:427	0	OPERATOR	3		diverges alone (cone 3)
w23:471	2	OPERATOR	6		diverges alone (cone 6)
w23:480	0	OPERATOR	2		diverges alone (cone 2)
w23:481	0	GRAPHOPT	6	n5,n7	needs siblings ['n5', 'n7']
w23:487	4	OPERATOR	3		diverges alone (cone 3)
w23:488	1	OPERATOR	6		diverges alone (cone 6)
w23:490	3	OPERATOR	3		diverges alone (cone 3)
w23:50	3	OPERATOR	4		diverges alone (cone 4)
w23:510	0	OPERATOR	2		diverges alone (cone 2)
w23:533	0	OPERATOR	4		diverges alone (cone 4)
w23:538	2	OPERATOR	7		diverges alone (cone 7)
w23:543	0	OPERATOR	3		diverges alone (cone 3)
w23:552	0	OPERATOR	4		diverges alone (cone 4)
w23:555	3	OPERATOR	2		diverges alone (cone 2)
w23:556	1	OPERATOR	3		diverges alone (cone 3)
w23:560	2	OPERATOR	6		diverges alone (cone 6)
w23:572	2	OPERATOR	5		diverges alone (cone 5)
w23:576	1	OPERATOR	5		diverges alone (cone 5)
w23:582	1	OPERATOR	6		diverges alone (cone 6)
w23:583	0	OPERATOR	3		diverges alone (cone 3)
w23:585	0	OPERATOR	4		diverges alone (cone 4)
w23:629	0	OPERATOR	5		diverges alone (cone 5)
w23:645	0	OPERATOR	7		diverges alone (cone 7)
w23:662	0	OPERATOR	11		diverges alone (cone 11)
w23:669	3	OPERATOR	4		diverges alone (cone 4)
w23:675	3	OPERATOR	2		diverges alone (cone 2)
w23:680	0	OPERATOR	3		diverges alone (cone 3)
w23:717	0	GRAPHOPT	8	n6,n7	needs siblings ['n6', 'n7']
w23:729	2	OPERATOR	3		diverges alone (cone 3)
w23:738	0	OPERATOR	2		diverges alone (cone 2)
w23:748	0	OPERATOR	5		diverges alone (cone 5)
w23:755	3	OPERATOR	3		diverges alone (cone 3)
w23:757	2	OPERATOR	8		diverges alone (cone 8)
w23:759	3	OPERATOR	2		diverges alone (cone 2)
w23:766	0	OPERATOR	4		diverges alone (cone 4)
w23:77	4	OPERATOR	3		diverges alone (cone 3)
w23:91	2	GRAPHOPT	6	n6	needs siblings ['n6']
w23:93	0	OPERATOR	3		diverges alone (cone 3)
w24:109	3	OPERATOR	3		diverges alone (cone 3)
w24:12	0	NOREPRO	5		full graph diverges=False
w24:161	0	GRAPHOPT	10	n10	needs siblings ['n10']
w24:208	3	OPERATOR	2		diverges alone (cone 2)
w24:222	0	OPERATOR	7		diverges alone (cone 7)
w24:226	0	OPERATOR	2		diverges alone (cone 2)
w24:237	1	OPERATOR	4		diverges alone (cone 4)
w24:25	1	GRAPHOPT	8	n4,n7	needs siblings ['n4', 'n7']
w24:255	2	OPERATOR	3		diverges alone (cone 3)
w24:260	1	NOREPRO	4		full graph diverges=False
w24:276	2	OPERATOR	2		diverges alone (cone 2)
w24:290	0	OPERATOR	5		diverges alone (cone 5)
w24:293	0	OPERATOR	4		diverges alone (cone 4)
w24:321	1	OPERATOR	4		diverges alone (cone 4)
w24:336	1	OPERATOR	5		diverges alone (cone 5)
w24:340	0	NOREPRO	7		full graph diverges=False
w24:369	0	OPERATOR	4		diverges alone (cone 4)
w24:380	2	OPERATOR	3		diverges alone (cone 3)
w24:382	0	OPERATOR	2		diverges alone (cone 2)
w24:384	3	NOREPRO	2		full graph diverges=False
w24:42	0	OPERATOR	3		diverges alone (cone 3)
w24:427	0	OPERATOR	2		diverges alone (cone 2)
w24:432	0	OPERATOR	5		diverges alone (cone 5)
w24:441	1	OPERATOR	3		diverges alone (cone 3)
w24:459	0	OPERATOR	3		diverges alone (cone 3)
w24:483	0	GRAPHOPT	7	n9	needs siblings ['n9']
w24:487	2	OPERATOR	3		diverges alone (cone 3)
w24:516	0	OPERATOR	2		diverges alone (cone 2)
w24:52	0	GRAPHOPT	4	n6	needs siblings ['n6']
w24:521	0	OPERATOR	2		diverges alone (cone 2)
w24:533	0	OPERATOR	2		diverges alone (cone 2)
w24:537	1	OPERATOR	5		diverges alone (cone 5)
w24:547	1	OPERATOR	4		diverges alone (cone 4)
w24:549	0	OPERATOR	2		diverges alone (cone 2)
w24:562	2	OPERATOR	4		diverges alone (cone 4)
w24:569	2	GRAPHOPT	4	n3	needs siblings ['n3']
w24:573	0	OPERATOR	8		diverges alone (cone 8)
w24:574	1	OPERATOR	6		diverges alone (cone 6)
w24:604	0	OPERATOR	4		diverges alone (cone 4)
w24:609	0	OPERATOR	5		diverges alone (cone 5)
w24:638	1	OPERATOR	5		diverges alone (cone 5)
w24:639	1	OPERATOR	2		diverges alone (cone 2)
w24:647	0	OPERATOR	3		diverges alone (cone 3)
w24:65	0	OPERATOR	4		diverges alone (cone 4)
w24:663	0	NOREPRO	5		full graph diverges=False
w24:666	1	OPERATOR	4		diverges alone (cone 4)
w24:672	3	GRAPHOPT	5	n3	needs siblings ['n3']
