w0:1023	1	LOWERFAIL	5		dev=TIMEOUT
w0:1039	0	GRAPHOPT	5	n4,n6	needs siblings ['n4', 'n6']
w0:151	4	GRAPHOPT	8	n3,n4,n5,n6	needs siblings ['n3', 'n4', 'n5', 'n6']
w0:154	0	LOWERFAIL	3		dev=TIMEOUT
w0:232	3	LOWERFAIL	7		dev=TIMEOUT
w0:245	0	LOWERFAIL	6		dev=TIMEOUT
w0:252	1	OPERATOR	3		diverges alone (cone 3)
w0:254	1	LOWERFAIL	3		dev=TIMEOUT
w0:270	2	OPERATOR	5		diverges alone (cone 5)
w0:311	0	LOWERFAIL	3		dev=TIMEOUT
w0:313	2	GRAPHOPT	5	n4,n7	needs siblings ['n4', 'n7']
w0:325	2	LOWERFAIL	5		dev=TIMEOUT
w0:340	1	OPERATOR	4		diverges alone (cone 4)
w0:346	2	LOWERFAIL	4		dev=TIMEOUT
w0:35	1	LOWERFAIL	5		dev=TIMEOUT
w0:355	1	LOWERFAIL	5		dev=TIMEOUT
w0:357	2	LOWERFAIL	6		dev=TIMEOUT
w0:400	0	LOWERFAIL	2		dev=TIMEOUT
w0:402	1	LOWERFAIL	5		dev=TIMEOUT
w0:418	3	LOWERFAIL	3		dev=TIMEOUT
w0:451	2	LOWERFAIL	3		dev=TIMEOUT
w0:470	1	LOWERFAIL	6		dev=TIMEOUT
w0:56	1	GRAPHOPT	7	n13	needs siblings ['n13']
w0:585	1	LOWERFAIL	5		dev=TIMEOUT
w0:597	0	LOWERFAIL	2		dev=TIMEOUT
w0:60	0	LOWERFAIL	3		dev=TIMEOUT
w0:62	3	LOWERFAIL	3		dev=TIMEOUT
w0:67	3	OPERATOR	4		diverges alone (cone 4)
w0:680	1	LOWERFAIL	4		dev=TIMEOUT
w0:683	0	OPERATOR	2		diverges alone (cone 2)
w0:70	1	LOWERFAIL	4		dev=TIMEOUT
w0:74	2	LOWERFAIL	6		dev=TIMEOUT
w0:748	0	LOWERFAIL	2		dev=TIMEOUT
w0:763	1	LOWERFAIL	4		dev=TIMEOUT
w0:809	2	GRAPHOPT	8	n2,n4,n7	needs siblings ['n2', 'n4', 'n7']
