status	job	reason	graph
CRASH	w0:759	nxp_runner rc=255: runner rc=255 (see /tmp/nxp_job_czo3qk21/run.log) 	n0*=_pdist_forward(L0,·)
MISMATCH	w0:752	out[0] max|delta|=2.550e+02 (rtol=0.01 atol=0.001)	n0*=unsqueeze_copy(L0,·)
MISMATCH	w0:754	out[0] max|delta|=2.832e-02 (rtol=0.01 atol=0.001)	n0*=_native_batch_norm_legit.no_stats(L0,·,·,·,·,·)
MISMATCH	w0:769	out[0] max|delta|=7.650e+02 (rtol=0.01 atol=0.001)	n0*=mul.Scalar(L0,·)
MISMATCH	w0:85	out[0] max|delta|=1.785e+03 (rtol=0.01 atol=0.001)	n0*=mul.Scalar(L0,·)
CRASH	w1:117	nxp_runner rc=255: runner rc=255 (see /tmp/nxp_job_w2ie3zta/run.log) 	n0*=_pdist_forward(L0,·)
MISMATCH	w1:114	out[0] non-finite mismatch (nan/inf positions differ)	n0*=native_group_norm(L0,·,·,·,·,·,·,·)
CRASH	w1:145	nxp_runner rc=255: runner rc=255 (see /tmp/nxp_job_l953px4l/run.log) 	n0*=_fft_r2c(L0,·,·,·)
MISMATCH	w1:17	out[0] max|delta|=2.550e+02 (rtol=0.01 atol=0.001)	n0*=permute_copy(L0,·)
MISMATCH	w1:158	out[0] max|delta|=2.550e+02 (rtol=0.01 atol=0.001)	n0*=t_copy(L0)
MISMATCH	w1:237	out[0] max|delta|=2.550e+02 (rtol=0.01 atol=0.001)	n0*=select_copy.int(L0,·,·)
CRASH	w1:260	nxp_runner rc=255: runner rc=255 (see /tmp/nxp_job_jpv81a7f/run.log) 	n0*=native_group_norm(L0,·,·,·,·,·,·,·)
MISMATCH	w1:252	out[0] max|delta|=2.550e+02 (rtol=0.01 atol=0.001)	n0*=grid_sampler_2d(L0,L1,·,·,·)
CRASH	w1:306	nxp_runner rc=255: runner rc=255 (see /tmp/nxp_job_2yhehelp/run.log) 	n0*=copy(L0,L1,·)
CRASH	w1:307	nxp_runner rc=255: runner rc=255 (see /tmp/nxp_job_jv0l58mw/run.log) 	n0*=stack(·,·)
CRASH	w1:32	nxp_runner rc=255: runner rc=255 (see /tmp/nxp_job_bm8xxge7/run.log) 	n0*=native_group_norm(L0,·,·,·,·,·,·,·)
MISMATCH	w1:292	out[0] max|delta|=2.550e+02 (rtol=0.01 atol=0.001)	n0*=index_put(L0,·,L1,·)
CRASH	w1:342	nxp_runner rc=255: runner rc=255 (see /tmp/nxp_job_gjnda6n4/run.log) 	n0*=native_group_norm(L0,·,·,·,·,·,·,·)
CRASH	w1:373	nxp_runner rc=255: runner rc=255 (see /tmp/nxp_job_h5h_tj5k/run.log) 	n0*=_fft_r2c(L0,·,·,·)
MISMATCH	w1:386	out[0] max|delta|=2.550e+02 (rtol=0.01 atol=0.001)	n0*=t_copy(L0)
MISMATCH	w1:391	out[0] max|delta|=2.550e+02 (rtol=0.01 atol=0.001)	n0*=add.Scalar(L0,·,·)
MISMATCH	w1:409	out[0] max|delta|=4.970e+02 (rtol=0.01 atol=0.001)	n0*=floor_divide(L0,L1)
MISMATCH	w1:403	out[0] max|delta|=2.550e+02 (rtol=0.01 atol=0.001)	n0*=unbind_copy.int(L0,·)
MISMATCH	w1:430	out[0] max|delta|=2.550e+02 (rtol=0.01 atol=0.001)	n0*=transpose_copy.int(L0,·,·)
MISMATCH	w1:450	out[0] max|delta|=1.000e+00 (rtol=0.0 atol=0.0)	n0*=prod(L0,·)
MISMATCH	w1:466	out[0] max|delta|=1.270e+02 (rtol=0.01 atol=0.001)	n0*=relu(L0)
MISMATCH	w1:465	out[0] max|delta|=2.550e+02 (rtol=0.01 atol=0.001)	n0*=select_copy.int(L0,·,·)
CRASH	w1:488	nxp_runner rc=255: runner rc=255 (see /tmp/nxp_job_w2gydwst/run.log) 	n0*=native_group_norm(L0,·,·,·,·,·,·,·)
CRASH	w1:535	nxp_runner rc=255: runner rc=255 (see /tmp/nxp_job_dk_a1we7/run.log) 	n0*=stack(·,·)
MISMATCH	w1:518	out[0] max|delta|=2.988e+00 (rtol=0.01 atol=0.001)	n0*=hardtanh(L0,·,·)
MISMATCH	w1:520	out[0] max|delta|=2.550e+02 (rtol=0.01 atol=0.001)	n0*=index_put(L0,·,L1,·)
CRASH	w1:570	nxp_runner rc=255: runner rc=255 (see /tmp/nxp_job__g1maps_/run.log) 	n0*=native_group_norm(L0,·,·,·,·,·,·,·)
CRASH	w1:573	nxp_runner rc=255: runner rc=255 (see /tmp/nxp_job_t3ncu5os/run.log) 	n0*=_pdist_forward(L0,·)
CRASH	w1:601	nxp_runner rc=255: runner rc=255 (see /tmp/nxp_job_mo434_3s/run.log) 	n0*=_fft_r2c(L0,·,·,·)
MISMATCH	w1:64	out[0] max|delta|=2.550e+02 (rtol=0.01 atol=0.001)	n0*=index_put(L0,·,L1,·)
MISMATCH	w1:658	out[0] max|delta|=2.550e+02 (rtol=0.01 atol=0.001)	n0*=transpose_copy.int(L0,·,·)
CRASH	w1:711	nxp_runner rc=255: runner rc=255 (see /tmp/nxp_job_rq_7w3zw/run.log) 	n0*=convolution(L0,L1,·,·,·,·,·,·,·)
CRASH	w1:716	nxp_runner rc=255: runner rc=255 (see /tmp/nxp_job_p_y227g7/run.log) 	n0*=native_group_norm(L0,·,·,·,·,·,·,·)
MISMATCH	w1:708	out[0] max|delta|=2.550e+02 (rtol=0.01 atol=0.001)	n0*=grid_sampler_2d(L0,L1,·,·,·)
MISMATCH	w1:748	out[0] max|delta|=2.550e+02 (rtol=0.01 atol=0.001)	n0*=index_put(L0,·,L1,·)
CRASH	w1:762	nxp_runner rc=255: runner rc=255 (see /tmp/nxp_job_5loz4uv2/run.log) 	n0*=copy(L0,L1,·)
CRASH	w1:763	nxp_runner rc=255: runner rc=255 (see /tmp/nxp_job_n3l9_x7e/run.log) 	n0*=stack(·,·)
MISMATCH	w1:771	out[0] max|delta|=2.550e+02 (rtol=0.01 atol=0.001)	n0*=linear(L0,L1,·)
CRASH	w1:79	nxp_runner rc=255: runner rc=255 (see /tmp/nxp_job__mteki3k/run.log) 	n0*=stack(·,·)
MISMATCH	w1:87	out[0] max|delta|=2.550e+02 (rtol=0.01 atol=0.001)	n0*=linear(L0,L1,·)
CRASH	w10:118	nxp_runner rc=255: runner rc=255 (see /tmp/nxp_job_n7mf3obm/run.log) 	n0*=stack(·,·)
CRASH	w10:117	nxp_runner rc=255: runner rc=255 (see /tmp/nxp_job_7rufr3k5/run.log) 	n0*=copy(L0,L1,·)
MISMATCH	w10:103	out[0] max|delta|=2.550e+02 (rtol=0.01 atol=0.001)	n0*=index_put(L0,·,L1,·)
MISMATCH	w10:13	out[0] max|delta|=2.550e+02 (rtol=0.01 atol=0.001)	n0*=transpose_copy.int(L0,·,·)
MISMATCH	w10:126	out[0] max|delta|=2.550e+02 (rtol=0.01 atol=0.001)	n0*=linear(L0,L1,·)
CRASH	w10:153	nxp_runner rc=255: runner rc=255 (see /tmp/nxp_job_5p69ekvw/run.log) 	n0*=native_group_norm(L0,·,·,·,·,·,·,·)
CRASH	w10:156	nxp_runner rc=255: runner rc=255 (see /tmp/nxp_job_htg5jpis/run.log) 	n0*=_pdist_forward(L0,·)
CRASH	w10:184	nxp_runner rc=255: runner rc=255 (see /tmp/nxp_job_6h3obv6w/run.log) 	n0*=_fft_r2c(L0,·,·,·)
MISMATCH	w10:214	out[0] max|delta|=2.550e+02 (rtol=0.01 atol=0.001)	n0*=unbind_copy.int(L0,·)
MISMATCH	w10:197	out[0] max|delta|=2.550e+02 (rtol=0.01 atol=0.001)	n0*=t_copy(L0)
MISMATCH	w10:241	out[0] max|delta|=2.550e+02 (rtol=0.01 atol=0.001)	n0*=transpose_copy.int(L0,·,·)
MISMATCH	w10:262	out[0] max|delta|=2.550e+02 (rtol=0.01 atol=0.001)	n0*=split_with_sizes_copy(L0,·,·)
CRASH	w10:299	nxp_runner rc=255: runner rc=255 (see /tmp/nxp_job_e7yu0imz/run.log) 	n0*=native_group_norm(L0,·,·,·,·,·,·,·)
MISMATCH	w10:300	out[0] max|delta|=2.550e+02 (rtol=0.01 atol=0.001)	n0*=squeeze_copy.dims(L0,·)
MISMATCH	w10:331	out[0] max|delta|=2.550e+02 (rtol=0.01 atol=0.001)	n0*=index_put(L0,·,L1,·)
CRASH	w10:346	nxp_runner rc=255: runner rc=255 (see /tmp/nxp_job_c2d9xvel/run.log) 	n0*=stack(·,·)
CRASH	w10:381	nxp_runner rc=255: runner rc=255 (see /tmp/nxp_job_p7ru75cn/run.log) 	n0*=native_group_norm(L0,·,·,·,·,·,·,·)
CRASH	w10:412	nxp_runner rc=255: runner rc=255 (see /tmp/nxp_job_h0ih056c/run.log) 	n0*=_fft_r2c(L0,·,·,·)
MISMATCH	w10:425	out[0] max|delta|=2.550e+02 (rtol=0.01 atol=0.001)	n0*=t_copy(L0)
MISMATCH	w10:48	out[0] max|delta|=2.550e+02 (rtol=0.01 atol=0.001)	n0*=select_copy.int(L0,·,·)
MISMATCH	w10:484	out[0] max|delta|=2.550e+02 (rtol=0.01 atol=0.001)	n0*=split_copy.Tensor(L0,·,·)
MISMATCH	w10:490	out[0] max|delta|=2.550e+02 (rtol=0.01 atol=0.001)	n0*=split_with_sizes_copy(L0,·,·)
CRASH	w10:527	nxp_runner rc=255: runner rc=255 (see /tmp/nxp_job_t1ymtvca/run.log) 	n0*=native_group_norm(L0,·,·,·,·,·,·,·)
CRASH	w10:574	nxp_runner rc=255: runner rc=255 (see /tmp/nxp_job_wozogdc1/run.log) 	n0*=stack(·,·)
MISMATCH	w10:559	out[0] max|delta|=2.550e+02 (rtol=0.01 atol=0.001)	n0*=index_put(L0,·,L1,·)
CRASH	w10:609	nxp_runner rc=255: runner rc=255 (see /tmp/nxp_job_i8mqu_ei/run.log) 	n0*=native_group_norm(L0,·,·,·,·,·,·,·)
MISMATCH	w10:607	out[0] max|delta|=2.832e-02 (rtol=0.01 atol=0.001)	n0*=_native_batch_norm_legit.no_stats(L0,·,·,·,·,·)
CRASH	w10:640	nxp_runner rc=255: runner rc=255 (see /tmp/nxp_job_s9r8se_s/run.log) 	n0*=_fft_r2c(L0,·,·,·)
MISMATCH	w10:63	out[0] max|delta|=2.550e+02 (rtol=0.01 atol=0.001)	n0*=grid_sampler_2d(L0,L1,·,·,·)
CRASH	w10:66	nxp_runner rc=255: runner rc=255 (see /tmp/nxp_job_98l6_6pk/run.log) 	n0*=convolution(L0,L1,·,·,·,·,·,·,·)
MISMATCH	w10:670	out[0] max|delta|=2.550e+02 (rtol=0.01 atol=0.001)	n0*=unbind_copy.int(L0,·)
CRASH	w10:71	nxp_runner rc=255: runner rc=255 (see /tmp/nxp_job_znlrme9l/run.log) 	n0*=native_group_norm(L0,·,·,·,·,·,·,·)
MISMATCH	w10:697	out[0] max|delta|=2.550e+02 (rtol=0.01 atol=0.001)	n0*=transpose_copy.int(L0,·,·)
MISMATCH	w10:72	out[0] max|delta|=2.550e+02 (rtol=0.01 atol=0.001)	n0*=squeeze_copy.dims(L0,·)
CRASH	w10:755	nxp_runner rc=255: runner rc=255 (see /tmp/nxp_job_a1di01ec/run.log) 	n0*=native_group_norm(L0,·,·,·,·,·,·,·)
MISMATCH	w10:732	out[0] max|delta|=2.550e+02 (rtol=0.01 atol=0.001)	n0*=select_copy.int(L0,·,·)
CRASH	w100:116	nxp_runner rc=255: runner rc=255 (see /tmp/nxp_job_z2ffgj0a/run.log) 	n0*=_fft_r2c(L0,·,·,·)
MISMATCH	w10:92	out[0] max|delta|=2.550e+02 (rtol=0.01 atol=0.001)	n0*=detach_copy(L0)
MISMATCH	w100:146	out[0] max|delta|=2.550e+02 (rtol=0.01 atol=0.001)	n0*=unbind_copy.int(L0,·)
CRASH	w100:187	nxp_runner rc=255: runner rc=255 (see /tmp/nxp_job_vnfa8iom/run.log) 	n0*=expand_copy(L0,·,·)
CRASH	w100:231	nxp_runner rc=255: runner rc=255 (see /tmp/nxp_job_q1146pfw/run.log) 	n0*=native_group_norm(L0,·,·,·,·,·,·,·)
CRASH	w100:278	nxp_runner rc=255: runner rc=255 (see /tmp/nxp_job_hh98ze58/run.log) 	n0*=stack(·,·)
MISMATCH	w100:263	out[0] max|delta|=2.550e+02 (rtol=0.01 atol=0.001)	n0*=index_put(L0,·,L1,·)
CRASH	w100:3	nxp_runner rc=255: runner rc=255 (see /tmp/nxp_job_ev8ghlr6/run.log) 	n0*=native_group_norm(L0,·,·,·,·,·,·,·)
MISMATCH	w100:295	out[0] max|delta|=2.550e+02 (rtol=0.01 atol=0.001)	n0*=reflection_pad2d(L0,·)
CRASH	w100:313	nxp_runner rc=255: runner rc=255 (see /tmp/nxp_job_jyxco0lc/run.log) 	n0*=native_group_norm(L0,·,·,·,·,·,·,·)
CRASH	w100:316	nxp_runner rc=255: runner rc=255 (see /tmp/nxp_job_5d7uajqh/run.log) 	n0*=_pdist_forward(L0,·)
CRASH	w100:344	nxp_runner rc=255: runner rc=255 (see /tmp/nxp_job_h1e12mu1/run.log) 	n0*=_fft_r2c(L0,·,·,·)
MISMATCH	w100:357	out[0] max|delta|=2.550e+02 (rtol=0.01 atol=0.001)	n0*=t_copy(L0)
CRASH	w100:415	nxp_runner rc=255: runner rc=255 (see /tmp/nxp_job_c2jtu7ad/run.log) 	n0*=expand_copy(L0,·,·)
MISMATCH	w100:427	out[0] max|delta|=2.550e+02 (rtol=0.01 atol=0.001)	n0*=alias_copy(L0)
CRASH	w100:459	nxp_runner rc=255: runner rc=255 (see /tmp/nxp_job_k_h1kjxy/run.log) 	n0*=native_group_norm(L0,·,·,·,·,·,·,·)
MISMATCH	w100:441	out[0] max|delta|=2.550e+02 (rtol=0.01 atol=0.001)	n0*=sub.Scalar(L0,·,·)
MISMATCH	w100:451	out[0] max|delta|=2.550e+02 (rtol=0.01 atol=0.001)	n0*=grid_sampler_2d(L0,L1,·,·,·)
CRASH	w100:50	nxp_runner rc=255: runner rc=255 (see /tmp/nxp_job_z7ndylj1/run.log) 	n0*=stack(·,·)
MISMATCH	w100:480	out[0] max|delta|=2.550e+02 (rtol=0.01 atol=0.001)	n0*=detach_copy(L0)
MISMATCH	w100:489	out[0] max|delta|=6.000e+00 (rtol=0.01 atol=0.001)	n0*=hardtanh(L0,·,·)
CRASH	w100:506	nxp_runner rc=255: runner rc=255 (see /tmp/nxp_job_vlnyym9r/run.log) 	n0*=stack(·,·)
MISMATCH	w100:491	out[0] max|delta|=2.550e+02 (rtol=0.01 atol=0.001)	n0*=index_put(L0,·,L1,·)
MISMATCH	w100:514	out[0] max|delta|=2.550e+02 (rtol=0.01 atol=0.001)	n0*=linear(L0,L1,·)
MISMATCH	w100:523	out[0] max|delta|=2.550e+02 (rtol=0.01 atol=0.001)	n0*=reflection_pad2d(L0,·)
CRASH	w100:541	nxp_runner rc=255: runner rc=255 (see /tmp/nxp_job_2lwlqfzu/run.log) 	n0*=native_group_norm(L0,·,·,·,·,·,·,·)
CRASH	w100:544	nxp_runner rc=255: runner rc=255 (see /tmp/nxp_job_e1hs7kz_/run.log) 	n0*=_pdist_forward(L0,·)
MISMATCH	w100:539	out[0] max|delta|=2.832e-02 (rtol=0.01 atol=0.001)	n0*=_native_batch_norm_legit.no_stats(L0,·,·,·,·,·)
CRASH	w100:572	nxp_runner rc=255: runner rc=255 (see /tmp/nxp_job_9l58ipy6/run.log) 	n0*=_fft_r2c(L0,·,·,·)
MISMATCH	w100:58	out[0] max|delta|=2.550e+02 (rtol=0.01 atol=0.001)	n0*=linear(L0,L1,·)
MISMATCH	w100:602	out[0] max|delta|=2.550e+02 (rtol=0.01 atol=0.001)	n0*=unbind_copy.int(L0,·)
MISMATCH	w100:630	out[0] max|delta|=2.550e+02 (rtol=0.01 atol=0.001)	n0*=max(L0)
CRASH	w100:687	nxp_runner rc=255: runner rc=255 (see /tmp/nxp_job_telieqa9/run.log) 	n0*=native_group_norm(L0,·,·,·,·,·,·,·)
MISMATCH	w100:67	out[0] max|delta|=2.550e+02 (rtol=0.01 atol=0.001)	n0*=reflection_pad2d(L0,·)
CRASH	w100:734	nxp_runner rc=255: runner rc=255 (see /tmp/nxp_job_8ftwzpy_/run.log) 	n0*=stack(·,·)
MISMATCH	w100:708	out[0] max|delta|=2.550e+02 (rtol=0.01 atol=0.001)	n0*=detach_copy(L0)
MISMATCH	w100:719	out[0] max|delta|=2.550e+02 (rtol=0.01 atol=0.001)	n0*=index_put(L0,·,L1,·)
CRASH	w100:769	nxp_runner rc=255: runner rc=255 (see /tmp/nxp_job_imm6ra0s/run.log) 	n0*=native_group_norm(L0,·,·,·,·,·,·,·)
CRASH	w100:85	nxp_runner rc=255: runner rc=255 (see /tmp/nxp_job_dz23mpq0/run.log) 	n0*=native_group_norm(L0,·,·,·,·,·,·,·)
MISMATCH	w100:774	out[0] max|delta|=2.550e+02 (rtol=0.01 atol=0.001)	n0*=clone(L0,·)
CRASH	w101:10	nxp_runner rc=255: runner rc=255 (see /tmp/nxp_job_u0h1tpx4/run.log) 	n0*=_fft_r2c(L0,·,·,·)
