[feed] 6 jobs → broker 127.0.0.1:15664 (window=4, timeout=600s)
  [t= 170s] 4/6 ( 0.0/s)  ok=4 mism=0 crash=0 timeout=0 skip=0  |  inflight=2
  [t= 173s] 4/6 ( 0.0/s)  ok=4 mism=0 crash=0 timeout=0 skip=0  |  inflight=2
  [t= 176s] 4/6 ( 0.0/s)  ok=4 mism=0 crash=0 timeout=0 skip=0  |  inflight=2
  [t= 179s] 5/6 ( 0.0/s)  ok=5 mism=0 crash=0 timeout=0 skip=0  |  inflight=1
  [t= 182s] 5/6 ( 0.0/s)  ok=5 mism=0 crash=0 timeout=0 skip=0  |  inflight=1
  [t= 185s] 5/6 ( 0.0/s)  ok=5 mism=0 crash=0 timeout=0 skip=0  |  inflight=1
  [t= 188s] 5/6 ( 0.0/s)  ok=5 mism=0 crash=0 timeout=0 skip=0  |  inflight=1
  [t= 191s] 5/6 ( 0.0/s)  ok=5 mism=0 crash=0 timeout=0 skip=0  |  inflight=1
  [t= 194s] 5/6 ( 0.0/s)  ok=5 mism=0 crash=0 timeout=0 skip=0  |  inflight=1
  [t= 197s] 5/6 ( 0.0/s)  ok=5 mism=0 crash=0 timeout=0 skip=0  |  inflight=1

── Done — 6 graphs ──────────────────────────────
  OK       : 6
  MISMATCH : 0
  CRASH    : 0
  TIMEOUT  : 0
  SKIP     : 0
  skip-log: /data/jwen929/mobile/findings/cortex_m/_work/smoke.tsv  (replay one with `mobile feed <job_id>`)
