op	n	f_OK	f_MISMATCH	f_SKIP	f_CRASH	q_OK	q_MISMATCH	q_SKIP	q_CRASH	changed
lt.Scalar_out	32	32	0	0	0	32	0	0	0	0
lt.Tensor_out	33	33	0	0	0	33	0	0	0	0
masked_scatter	33	33	0	0	0	33	0	0	0	0
max	34	34	0	0	0	34	0	0	0	0
max.dim_max	29	23	0	6	0	2	21	0	6	27
max.unary_out	34	22	4	8	0	22	0	12	0	13
maximum.out	37	37	0	0	0	37	0	0	0	0
mean	29	29	0	0	0	29	0	0	0	0
mean.dtype_out	37	20	0	17	0	20	0	17	0	14
mean.out	16	13	0	3	0	15	0	1	0	4
min	37	37	0	0	0	37	0	0	0	0
min.dim_min	18	17	0	1	0	1	15	0	2	17
min.unary_out	32	17	2	13	0	23	1	8	0	15
minimum.out	32	32	0	0	0	32	0	0	0	0
mm.out	36	36	0	0	0	36	0	0	0	0
mul.Scalar	29	29	0	0	0	23	6	0	0	6
mul.out	32	32	0	0	0	32	0	0	0	0
narrow_copy	63	34	0	29	0	35	0	28	0	1
narrow_copy.out	29	14	0	15	0	12	0	17	0	2
native_group_norm	57	5	2	50	0	10	0	47	0	12
native_layer_norm	61	61	0	0	0	58	3	0	0	3
ne.Scalar_out	34	34	0	0	0	34	0	0	0	0
ne.Tensor_out	35	35	0	0	0	35	0	0	0	0
neg.out	37	37	0	0	0	37	0	0	0	0
permute_copy	37	37	0	0	0	37	0	0	0	0
pixel_shuffle	3	3	0	0	0	2	1	0	0	1
pixel_unshuffle	4	4	0	0	0	0	4	0	0	4
pow.Scalar_out	32	32	0	0	0	32	0	0	0	0
pow.Tensor_Scalar_out	37	37	0	0	0	37	0	0	0	0
pow.Tensor_Tensor_out	34	11	23	0	0	13	21	0	0	2
prod	35	35	0	0	0	35	0	0	0	0
prod.int_out	35	33	1	1	0	29	2	4	0	5
prod.out	34	32	0	2	0	32	0	2	0	2
reciprocal.out	29	29	0	0	0	29	0	0	0	0
reflection_pad2d	11	0	0	7	4	5	0	6	0	8
reflection_pad2d.out	7	0	0	5	2	3	0	4	0	5
relu	37	37	0	0	0	36	1	0	0	1
remainder.Scalar	31	27	4	0	0	26	5	0	0	9
remainder.Scalar_out	36	30	6	0	0	19	9	8	0	19
remainder.Tensor_out	33	25	7	1	0	30	1	2	0	11
repeat	6	1	0	5	0	1	0	5	0	0
replication_pad2d.out	11	0	5	0	6	11	0	0	0	11
replication_pad3d.out	8	0	2	0	6	8	0	0	0	8
roll	1	0	0	1	0	1	0	0	0	1
round.out	32	32	0	0	0	32	0	0	0	0
rsqrt.out	33	18	15	0	0	18	15	0	0	0
rsub.Scalar	1	1	0	0	0	1	0	0	0	0
scatter.src_out	10	8	1	1	0	9	1	0	0	2
scatter.value_out	35	19	0	16	0	0	0	35	0	19
scatter_add.out	19	5	0	14	0	0	0	19	0	5
select_copy.int	37	37	0	0	0	7	30	0	0	30
sigmoid.out	30	30	0	0	0	30	0	0	0	0
sign.out	32	32	0	0	0	32	0	0	0	0
sin.out	34	34	0	0	0	34	0	0	0	0
sinh.out	32	32	0	0	0	32	0	0	0	0
slice_copy.Tensor	36	36	0	0	0	36	0	0	0	0
slice_scatter	16	16	0	0	0	6	10	0	0	10
split_copy.Tensor	30	25	0	5	0	18	7	5	0	7
split_with_sizes_copy	20	17	1	2	0	8	11	1	0	14
sqrt.out	37	16	21	0	0	16	21	0	0	10
squeeze_copy.dim	26	26	0	0	0	26	0	0	0	0
squeeze_copy.dims	26	26	0	0	0	18	8	0	0	8
stack.out	6	0	0	0	6	0	0	0	6	0
