job	out	verdict	bucket	rec_mech	mech	test	vacuous	shared	port	xnn	eq_port	eq_xnn	A_deleg	B_deleg	deleg_full	A_n_ok	B_n_div	dtype	shape	numel	rel_pt	rel_sc	n_match	tgt_op	trigger_ops	detail	file
w89:35	0	COMPOSITIONAL	VALUE	VALUE	EXTREME_MAGNITUDE	t2		SHARED	MISMATCH	MISMATCH	True	True	0	0	3	2	3	int64	(2,)	2				t_copy	bitwise_left_shift	|ref|max=0 |dev|max=4.323e+17	w89_35__0.pt
w92:375	2	COMPOSITIONAL	VALUE	VALUE	EXTREME_MAGNITUDE	t2		SHARED	MISMATCH	MISMATCH	True	True	0	0	1	2	3	int64	(2, 3, 4, 4, 3)	288				clamp	bitwise_left_shift;abs	|ref|max=0 |dev|max=1.153e+18 ==2^60	w92_375__2.pt
w106:425	0	COMPOSITIONAL	VALUE	VALUE	INT_WRONG_VALUE	t9		SHARED	MISMATCH	MISMATCH	True	True	0	0	3	2	3	uint8	(1, 1, 1, 1, 2)	2	41.5	41.5		masked_fill	sum	max|delta|=249 |ref|max=6	w106_425__0.pt
w106:512	1	COMPOSITIONAL	VALUE	VALUE	INT_WRONG_VALUE	t9		SHARED	MISMATCH	MISMATCH	True	True	0	0	1	2	3	int64	(2, 2, 4, 4)	64	4	1.333		tril	remainder	max|delta|=4 |ref|max=3	w106_512__1.pt
w32:411	0	COMPOSITIONAL	VALUE	VALUE	INT_WRONG_VALUE	t9		SHARED	MISMATCH	MISMATCH	True	True	0	0	3	2	3	int64	(3, 1, 4, 3)	36	5	1.25		diagonal_copy	ceil;remainder;sub	max|delta|=5 |ref|max=4	w32_411__0.pt
w35:212	3	COMPOSITIONAL	VALUE	VALUE	INT_WRONG_VALUE	t9		SHARED	MISMATCH	MISMATCH	True	True	0	1	2	2	3	uint8	(1,)	1	0.5	0.5		t_copy	sum	max|delta|=1 |ref|max=2	w35_212__3.pt
w3:115	1	SIBLING_DEPENDENT	VALUE	VALUE	INT_WRONG_VALUE	t9		VGF_ONLY	OK	OK	False	False	2	3	9	2	3	int64	(1,)	1	1	1		sub	unbind_copy	max|delta|=3 |ref|max=3	w3_115__1.pt
w70:750	3	COMPOSITIONAL	VALUE	VALUE	INT_WRONG_VALUE	t9		SHARED	MISMATCH	MISMATCH	True	True	0	4	6	2	3	int16	()	1	0.9922	0.9922		sum	select_scatter	max|delta|=256 |ref|max=258	w70_750__3.pt
w83:344	1	COMPOSITIONAL	VALUE	VALUE	INT_WRONG_VALUE	t9		SHARED	MISMATCH	MISMATCH	True	True	0	0	2	2	3	int64	(2, 3, 2)	12	1.6e+13	4		bitwise_and	remainder	max|delta|=16 |ref|max=4	w83_344__1.pt
w124:426	2	SIBLING_DEPENDENT	VALUE	VALUE	NONFINITE	t1b		VGF_ONLY	OK	OK	False	False	4	7	8	2	3	float16	()	1				min	atan2	pos0 ref=nan dev=-inf	w124_426__2.pt
w127:717	0	SIBLING_DEPENDENT	VALUE	VALUE	NONFINITE	t1b		SHARED	MISMATCH	MISMATCH	True	True	3	1	1	2	3	float32	()	1				floor_divide	mul	pos0 ref=nan dev=inf	w127_717__0.pt
w39:585	0	SIBLING_DEPENDENT	VALUE	VALUE	NONFINITE	t1b		VGF_ONLY	OK	OK	False	False	3	9	12	2	3	float32	(2, 2, 3, 3, 4)	144				div	lt	pos38 ref=inf dev=nan	w39_585__0.pt
w77:521	1	SIBLING_DEPENDENT	VALUE	VALUE	NONFINITE	t1b		INCONCL	EXC:RuntimeError:method->execute() failed with error 0x12	EXC:RuntimeError:method->execute() failed with error 0x12	None	None	7	7	9	2	3	float16	(2,)	2				atanh	unbind_copy	pos0 ref=nan dev=inf	w77_521__1.pt
w85:219	3	SIBLING_DEPENDENT	VALUE	VALUE	NONFINITE	t1b		VGF_ONLY	OK	SKIP	False	None	3	4	8	2	3	float16	(2,)	2				log10	lift_fresh_copy	pos0 ref=nan dev=-inf	w85_219__3.pt
