corpus_v1/qnn/w19/w19_2365.py	RESULT	delta	bitwise_left_shift	n0	0
corpus_v1/qnn/w17/w17_160.py	RESULT	delta	logical_and	n21	21
corpus_v1/qnn/w19/w19_452.py	RESULT	nonfinite	div	n9	9
corpus_v1/qnn/w2/w2_1378.py	RESULT	nonfinite	log	n7	7
corpus_v1/qnn/w19/w19_86.py	RESULT	nonfinite	sqrt	n6	6
corpus_v1/qnn/w2/w2_1655.py	RESULT	delta	acos	n4	4
corpus_v1/qnn/w2/w2_1980.py	OK	no_divergence
corpus_v1/qnn/w2/w2_2402.py	RESULT	nonfinite	log	n5	5
corpus_v1/qnn/w2/w2_413.py	RESULT	delta	roll	n1	1
corpus_v1/qnn/w2/w2_930.py	RESULT	delta	_to_copy	n1	1
corpus_v1/qnn/w20/w20_126.py	OK	no_divergence
corpus_v1/qnn/w21/w21_122.py	RESULT	delta	remainder	n9	9
corpus_v1/qnn/w20/w20_791.py	ERROR	AssertionError	Failed to generate Qnn context binary.
corpus_v1/qnn/w20/w20_1897.py	RESULT	shape	sin	n0	0
corpus_v1/qnn/w20/w20_215.py	RESULT	delta	_to_copy	n9	9
corpus_v1/qnn/w20/w20_1616.py	RESULT	delta	_to_copy	n10	10
corpus_v1/qnn/w22/w22_1337.py	RESULT	delta	rsub	n15	15
corpus_v1/qnn/w20/w20_321.py	RESULT	nonfinite	max	n3	3
corpus_v1/qnn/w21/w21_932.py	RESULT	delta	elu	n11	11
corpus_v1/qnn/w21/w21_1774.py	RESULT	nonfinite	log	n1	1
corpus_v1/qnn/w21/w21_1461.py	RESULT	nonfinite	pow	n2	2
corpus_v1/qnn/w21/w21_1995.py	RESULT	delta	asinh	n3	3
corpus_v1/qnn/w22/w22_1962.py	RESULT	delta	glu	n3	3
corpus_v1/qnn/w21/w21_572.py	ERROR	RuntimeError	method->execute() failed with error 0x12
corpus_v1/qnn/w22/w22_1663.py	RESULT	delta	fill	n23	23
corpus_v1/qnn/w21/w21_239.py	RESULT	delta	ge	n3	3
corpus_v1/qnn/w22/w22_2447.py	ERROR	AssertionError	Failed to generate Qnn context binary.
corpus_v1/qnn/w22/w22_914.py	RESULT	nonfinite	rsqrt	n9	9
corpus_v1/qnn/w23/w23_1316.py	RESULT	nonfinite	logit	n3	3
corpus_v1/qnn/w22/w22_593.py	RESULT	nonfinite	maximum	n2	2
corpus_v1/qnn/w23/w23_2388.py	RESULT	delta	logical_or	n6	6
corpus_v1/qnn/w23/w23_1982.py	RESULT	nonfinite	max	n4	4
corpus_v1/qnn/w25/w25_1270.py	RESULT	delta	logical_not	n18	18
corpus_v1/qnn/w23/w23_1624.py	RESULT	delta	atan2	n1	1
corpus_v1/qnn/w23/w23_548.py	RESULT	delta	_to_copy	n3	3
corpus_v1/qnn/w25/w25_546.py	RESULT	delta	eq	n7	7
