job	out	verdict	axisA	axisB	target	cone_size	needed_siblings	needed_live	deleg_full	deleg_tgt	n_out	detail
w10:481	2	DEV:TIMEOUT										DEV:TIMEOUT
w104:305	0	COMPOSITIONAL	CONE_LOCAL	COMPOSITIONAL	n1	1		n0	9	2	3	
w11:439	0	OPERATOR	CONE_LOCAL	OPERATOR	n4	3			2	0	4	
w115:570	2	DEV:TIMEOUT										DEV:TIMEOUT
w121:125	4	ERROR										list index out of range
w126:91	0	DEV:TIMEOUT										DEV:TIMEOUT
w17:419	0	COMPOSITIONAL	CONE_LOCAL	COMPOSITIONAL	n10	10		n0	0	0	7	
w21:180	0	COMPOSITIONAL	CONE_LOCAL	COMPOSITIONAL	n3	2		n1	10	3	4	
w26:67	0	COMPOSITIONAL	CONE_LOCAL	COMPOSITIONAL	n2	2		n1	13	5	4	
w31:363	0	OPERATOR	CONE_LOCAL	OPERATOR	n2	2			12	5	5	
w38:134	2	CANT_ISOLATE										BUILD:SKIP
w42:524	0	SIBLING_DEPENDENT	SIBLING_DEPENDENT		n3		n6		7	3	4	
w48:216	0	COMPOSITIONAL	CONE_LOCAL	COMPOSITIONAL	n6	6		n4	10	8	3	
w52:165	0	SIBLING_DEPENDENT	SIBLING_DEPENDENT		n3		n9		9	4	3	
w57:285	0	COMPOSITIONAL	CONE_LOCAL	COMPOSITIONAL	n5	5		n1,n0	3	0	5	
w61:534	1	CANT_ISOLATE										BUILD:SKIP
w66:39	0	SIBLING_DEPENDENT	SIBLING_DEPENDENT		n3		n6		5	4	4	
w71:114	0	DEV:SKIP										DEV:SKIP
w78:215	1	OPERATOR	CONE_LOCAL	OPERATOR	n3	2			0	0	5	
w82:757	0	DEV:TIMEOUT										DEV:TIMEOUT
w89:13	1	CANT_ISOLATE										BUILD:SKIP
w93:520	0	SIBLING_DEPENDENT	SIBLING_DEPENDENT		n6		n9		2	2	4	
w98:35	1	CANT_ISOLATE										BUILD:SKIP
w10:481	2	OPERATOR	CONE_LOCAL	OPERATOR	n5	1			6	2	5	
w115:570	2	COMPOSITIONAL	CONE_LOCAL	COMPOSITIONAL	n7	2		n1	4	4	4	
w121:125	4	OPERATOR	CONE_LOCAL	OPERATOR	n7	2			7	3	5	
w126:91	0	SIBLING_DEPENDENT	SIBLING_DEPENDENT		n3		n8		12	4	4	
w71:114	0	DEV:SKIP										DEV:SKIP
w82:757	0	SIBLING_DEPENDENT	SIBLING_DEPENDENT		n3		n5		6	1	5	
w71:114	0	DEV:SKIP										DEV:SKIP
w71:114	0	DEV:SKIP										DEV:SKIP
w71:114	0	DEV:SKIP										DEV:SKIP
w71:114	0	DEV:SKIP										DEV:SKIP
w71:114	0	POISON										native-crashed 6x during localization
