job	out	verdict	axisA	axisB	target	cone_size	needed_siblings	needed_live	deleg_full	deleg_tgt	n_out	detail
w10:511	2	OPERATOR	CONE_LOCAL	OPERATOR	n7	5			3	0	4	
w104:278	4	CANT_ISOLATE										BUILD:SKIP
w11:255	0	DEV:TIMEOUT										DEV:TIMEOUT
w115:474	3	OPERATOR	CONE_LOCAL	OPERATOR	n6	2			9	2	5	
w120:675	1	DEV:TIMEOUT										DEV:TIMEOUT
w126:774	2	CANT_ISOLATE										BUILD:SKIP
w17:287	0	DEV:SKIP										DEV:SKIP
w20:762	0	SIBLING_DEPENDENT	SIBLING_DEPENDENT		n3		n10		14	6	3	
w26:610	4	OPERATOR	CONE_LOCAL	OPERATOR	n7	3			10	3	5	
w31:358	2	CANT_ISOLATE										BUILD:SKIP
w37:71	0	SIBLING_DEPENDENT	SIBLING_DEPENDENT		n4		n5		14	11	4	
w42:462	0	COMPOSITIONAL	CONE_LOCAL	COMPOSITIONAL	n4	3		n3,n1	2	2	4	
w48:208	0	SIBLING_DEPENDENT	SIBLING_DEPENDENT		n2		n7		7	1	4	
w52:201	1	OPERATOR	CONE_LOCAL	OPERATOR	n5	2			0	0	4	
w57:268	2	COMPOSITIONAL	CONE_LOCAL	COMPOSITIONAL	n7	3		n3	6	0	3	
w61:378	1	CANT_ISOLATE										BUILD:SKIP
w66:138	1	DEV:TIMEOUT										DEV:TIMEOUT
w70:715	2	SIBLING_DEPENDENT	SIBLING_DEPENDENT		n9		n10		3	2	4	
w77:565	3	SIBLING_DEPENDENT	SIBLING_DEPENDENT		n6		n7		8	3	5	
w82:602	2	OPERATOR	CONE_LOCAL	OPERATOR	n7	2			9	6	3	
w88:642	0	SIBLING_DEPENDENT	SIBLING_DEPENDENT		n5		n7		4	2	5	
w93:455	3	OPERATOR	CONE_LOCAL	OPERATOR	n6	1			2	0	5	
w98:507	0	SIBLING_DEPENDENT	SIBLING_DEPENDENT		n2		n4		5	3	4	
w11:255	0	OPERATOR	CONE_LOCAL	OPERATOR	n3	3			9	4	4	
w120:675	1	DEV:SKIP										DEV:SKIP
w17:287	0	DEV:SKIP										DEV:SKIP
w66:138	1	SIBLING_DEPENDENT	SIBLING_DEPENDENT		n6		n7		6	3	3	
w120:675	1	ERROR										list index out of range
w17:287	0	DEV:SKIP										DEV:SKIP
w120:675	1	ERROR										list index out of range
w17:287	0	DEV:SKIP										DEV:SKIP
w120:675	1	DEV:SKIP										DEV:SKIP
w17:287	0	DEV:TIMEOUT										DEV:TIMEOUT
w120:675	1	DEV:SKIP										DEV:SKIP
w17:287	0	DEV:SKIP										DEV:SKIP
w120:675	1	POISON										native-crashed 6x during localization
w17:287	0	POISON										native-crashed 6x during localization
