job	out	verdict	axisA	axisB	target	cone_size	needed_siblings	needed_live	deleg_full	deleg_tgt	n_out	detail
w10:85	0	DEV:TIMEOUT										DEV:TIMEOUT
w104:674	0	DEV:TIMEOUT										DEV:TIMEOUT
w11:82	0	COMPOSITIONAL	CONE_LOCAL	COMPOSITIONAL	n4	2		n2,n0	1	1	4	
w115:79	0	SIBLING_DEPENDENT	SIBLING_DEPENDENT		n1		n5,n6		4	2	5	
w121:475	2	DEV:TIMEOUT										DEV:TIMEOUT
w127:304	0	COMPOSITIONAL	CONE_LOCAL	COMPOSITIONAL	n5	5		n3,n2,n1,n4	2	3	5	
w17:533	1	OPERATOR	CONE_LOCAL	OPERATOR	n6	2			9	5	3	
w21:434	0	SIBLING_DEPENDENT	SIBLING_DEPENDENT		n3		n5		4	3	4	
w27:229	2	CANT_ISOLATE										BUILD:SKIP
w31:705	5	OPERATOR	CONE_LOCAL	OPERATOR	n7	1			9	3	6	
w38:271	3	CANT_ISOLATE										BUILD:SKIP
w43:181	0	OPERATOR	CONE_LOCAL	OPERATOR	n2	2			10	5	4	
w48:474	0	CANT_ISOLATE										BUILD:SKIP
w52:418	0	DEV:SKIP										DEV:SKIP
w57:87	2	SIBLING_DEPENDENT	SIBLING_DEPENDENT		n4		n2		9	3	6	
w61:48	1	COMPOSITIONAL	CONE_LOCAL	COMPOSITIONAL	n7	6		n3,n2	12	8	4	
w66:758	0	OPERATOR	CONE_LOCAL	OPERATOR	n2	2			12	5	5	
w71:327	0	CANT_ISOLATE										BUILD:SKIP
w78:432	3	COMPOSITIONAL	CONE_LOCAL	COMPOSITIONAL	n11	7		n5,n6	4	4	5	
w83:344	1	COMPOSITIONAL	CONE_LOCAL	COMPOSITIONAL	n6	4		n4	2	0	4	
w89:190	1	SIBLING_DEPENDENT	SIBLING_DEPENDENT		n4		n5		10	3	4	
w93:536	3	OPERATOR	CONE_LOCAL	OPERATOR	n7	1			9	3	4	
w98:671	0	COMPOSITIONAL	CONE_LOCAL	COMPOSITIONAL	n4	3		n2	4	3	3	
w10:85	0	SIBLING_DEPENDENT	SIBLING_DEPENDENT		n3		n6		2	0	5	
w104:674	0	COMPOSITIONAL	CONE_LOCAL	COMPOSITIONAL	n2	2		n1,n0	1	1	4	
w121:475	2	OPERATOR	CONE_LOCAL	OPERATOR	n6	2			11	4	4	
w52:418	0	DEV:SKIP										DEV:SKIP
w52:418	0	DEV:SKIP										DEV:SKIP
w52:418	0	DEV:SKIP										DEV:SKIP
w52:418	0	DEV:SKIP										DEV:SKIP
w52:418	0	DEV:SKIP										DEV:SKIP
w52:418	0	POISON										native-crashed 6x during localization
