job	out	verdict	axisA	axisB	target	cone_size	needed_siblings	needed_live	deleg_full	deleg_tgt	n_out	detail
w10:197	0	OPERATOR	CONE_LOCAL	OPERATOR	n5	2			6	1	5	
w103:654	4	DEV:TIMEOUT										DEV:TIMEOUT
w109:6	0	DEV:TIMEOUT										DEV:TIMEOUT
w115:354	0	DEV:TIMEOUT										DEV:TIMEOUT
w120:397	2	DEV:TIMEOUT										DEV:TIMEOUT
w126:485	0	OPERATOR	CONE_LOCAL	OPERATOR	n4	3			3	0	4	
w16:633	0	SIBLING_DEPENDENT	SIBLING_DEPENDENT		n3		n7		7	5	4	
w20:564	1	DEV:SKIP										DEV:SKIP
w26:607	0	COMPOSITIONAL	CONE_LOCAL	COMPOSITIONAL	n3	2		n2,n0	5	0	4	
w30:518	0	CANT_ISOLATE										BUILD:SKIP
w37:551	2	SIBLING_DEPENDENT	SIBLING_DEPENDENT		n6		n9		4	1	4	
w42:274	0	SIBLING_DEPENDENT	SIBLING_DEPENDENT		n6		n7		2	0	4	
w47:757	3	SIBLING_DEPENDENT	SIBLING_DEPENDENT		n6		n3		8	2	5	
w51:57	0	SIBLING_DEPENDENT	SIBLING_DEPENDENT		n4		n7,n8		5	3	4	
w56:575	1	SIBLING_DEPENDENT	SIBLING_DEPENDENT		n2		n1		14	7	6	
w61:24	3	COMPOSITIONAL	CONE_LOCAL	COMPOSITIONAL	n9	4		n4	0	2	4	
w66:113	1	OPERATOR	CONE_LOCAL	OPERATOR	n4	2			0	0	4	
w70:55	0	COMPOSITIONAL	CONE_LOCAL	COMPOSITIONAL	n1	1		n0	8	1	4	
w77:576	3	CANT_ISOLATE										BUILD:SKIP
w82:482	0	SIBLING_DEPENDENT	SIBLING_DEPENDENT		n1		n6		12	4	3	
w88:266	1	CANT_ISOLATE										BUILD:SKIP
w93:390	3	CANT_ISOLATE										BUILD:SKIP
w98:372	4	CANT_ISOLATE										BUILD:SKIP
w103:654	4	SIBLING_DEPENDENT	SIBLING_DEPENDENT		n9		n5		11	7	5	
w109:6	0	CANT_ISOLATE										BUILD:SKIP
w115:354	0	SIBLING_DEPENDENT	SIBLING_DEPENDENT		n1		n6		8	3	4	
w120:397	2	ERROR										list index out of range
w20:564	1	DEV:SKIP										DEV:SKIP
w120:397	2	CANT_ISOLATE										BUILD:SKIP
w20:564	1	DEV:SKIP										DEV:SKIP
w20:564	1	DEV:SKIP										DEV:SKIP
w20:564	1	DEV:SKIP										DEV:SKIP
w20:564	1	DEV:SKIP										DEV:SKIP
w20:564	1	POISON										native-crashed 6x during localization
